t_rel_s,t_unix,mode,cycle,phase,setpoint_n,force_net_n,lc_seq,lc_t_us,lc_voltage_raw_v,q1,q2,q3,q4,q5,q6,tcp_x,tcp_y,tcp_z,pose_age_ms,taxel_0,taxel_1,taxel_2,taxel_3,taxel_4,taxel_5,taxel_6,taxel_7,taxel_8,taxel_9,taxel_10,taxel_11,taxel_12,taxel_13,taxel_14,taxel_15,taxel_16,taxel_17,taxel_18,taxel_19,taxel_20,taxel_21,taxel_22,taxel_23,taxel_24,touch_t_us,taxel_age_ms,n_RA,n_SA,cn_mm,cn_ra,cn_sa
0.0007,1788965018.7691,TOUCH,0,-1,0.5000,-0.0069,565417,657783559,-3.7377698,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0025,1788965018.7709,TOUCH,0,-1,0.5000,-0.0069,565418,657786055,-3.7426276,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0055,1788965018.7739,TOUCH,1,0,0.5000,-0.0068,565419,657789066,-3.7769110,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0082,1788965018.7766,TOUCH,1,0,0.5000,-0.0070,565420,657791822,-3.7749364,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0108,1788965018.7792,TOUCH,1,0,0.5000,-0.0071,565421,657794276,-3.7481008,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0135,1788965018.7819,TOUCH,1,0,0.5000,-0.0071,565422,657797021,-3.7452903,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0162,1788965018.7846,TOUCH,1,0,0.5000,-0.0071,565423,657799767,-3.7865691,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0186,1788965018.7870,TOUCH,1,0,0.5000,-0.0071,565424,657802203,-3.7196467,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0211,1788965018.7895,TOUCH,1,0,0.5000,-0.0071,565425,657804699,-3.7341318,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0234,1788965018.7918,TOUCH,1,0,0.5000,-0.0070,565426,657807093,-3.7491941,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0258,1788965018.7942,TOUCH,1,0,0.5000,-0.0070,565427,657809457,-3.7665062,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0282,1788965018.7966,TOUCH,1,0,0.5000,-0.0071,565428,657811850,-3.7899015,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0306,1788965018.7990,TOUCH,1,0,0.5000,-0.0073,565429,657814238,-3.7856255,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0331,1788965018.8015,TOUCH,1,0,0.5000,-0.0075,565430,657816700,-3.7748611,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0354,1788965018.8038,TOUCH,1,0,0.5000,-0.0077,565431,657819087,-3.7717197,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0382,1788965018.8066,TOUCH,1,0,0.5000,-0.0078,565432,657821582,-3.7677259,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0403,1788965018.8088,TOUCH,1,0,0.5000,-0.0080,565433,657824016,-3.7761862,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
