t_rel_s,t_unix,mode,cycle,phase,setpoint_n,force_net_n,lc_seq,lc_t_us,lc_voltage_raw_v,q1,q2,q3,q4,q5,q6,tcp_x,tcp_y,tcp_z,pose_age_ms,taxel_0,taxel_1,taxel_2,taxel_3,taxel_4,taxel_5,taxel_6,taxel_7,taxel_8,taxel_9,taxel_10,taxel_11,taxel_12,taxel_13,taxel_14,taxel_15,taxel_16,taxel_17,taxel_18,taxel_19,taxel_20,taxel_21,taxel_22,taxel_23,taxel_24,touch_t_us,taxel_age_ms,n_RA,n_SA,cn_mm,cn_ra,cn_sa
0.0516,1788965957.6318,TOUCH,1,0,1.0000,-0.0069,939635,1596647022,-3.7743888,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0527,1788965957.6329,TOUCH,1,0,1.0000,-0.0070,939636,1596648171,-3.7819898,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0559,1788965957.6361,TOUCH,1,0,1.0000,-0.0071,939637,1596651247,-3.7637665,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0583,1788965957.6385,TOUCH,1,0,1.0000,-0.0072,939638,1596653762,-3.7533855,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0608,1788965957.6410,TOUCH,1,0,1.0000,-0.0073,939639,1596656260,-3.7031069,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0634,1788965957.6436,TOUCH,1,0,1.0000,-0.0071,939640,1596658767,-3.7213409,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0658,1788965957.6460,TOUCH,1,0,1.0000,-0.0070,939641,1596661284,-3.7335534,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0683,1788965957.6485,TOUCH,1,0,1.0000,-0.0069,939642,1596663752,-3.7293425,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0709,1788965957.6511,TOUCH,1,0,1.0000,-0.0068,939643,1596666261,-3.7294452,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0733,1788965957.6535,TOUCH,1,0,1.0000,-0.0068,939644,1596668715,-3.7336829,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0759,1788965957.6561,TOUCH,1,0,1.0000,-0.0067,939645,1596671241,-3.7367842,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0786,1788965957.6588,TOUCH,1,0,1.0000,-0.0067,939646,1596673785,-3.7454932,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0810,1788965957.6612,TOUCH,1,0,1.0000,-0.0067,939647,1596676362,-3.7530067,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0834,1788965957.6636,TOUCH,1,0,1.0000,-0.0066,939648,1596678830,-3.7198386,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0858,1788965957.6660,TOUCH,1,0,1.0000,-0.0065,939649,1596681208,-3.7110512,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0883,1788965957.6685,TOUCH,1,0,1.0000,-0.0064,939650,1596683757,-3.7347331,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0909,1788965957.6711,TOUCH,1,0,1.0000,-0.0063,939651,1596686304,-3.7348502,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0936,1788965957.6738,TOUCH,1,0,1.0000,-0.0063,939652,1596688954,-3.7468874,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0965,1788965957.6767,TOUCH,1,0,1.0000,-0.0063,939653,1596691673,-3.7564850,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0988,1788965957.6790,TOUCH,1,0,1.0000,-0.0063,939654,1596694236,-3.7572768,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1012,1788965957.6814,TOUCH,1,0,1.0000,-0.0064,939655,1596696603,-3.7790585,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1036,1788965957.6838,TOUCH,1,0,1.0000,-0.0065,939656,1596698962,-3.7826440,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1060,1788965957.6862,TOUCH,1,0,1.0000,-0.0067,939657,1596701440,-3.7760210,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1084,1788965957.6886,TOUCH,1,0,1.0000,-0.0068,939658,1596703859,-3.7438602,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1110,1788965957.6912,TOUCH,1,0,1.0000,-0.0068,939659,1596706273,-3.7184567,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1133,1788965957.6935,TOUCH,1,0,1.0000,-0.0068,939660,1596708758,-3.7476072,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1164,1788965957.6966,TOUCH,1,0,1.0000,-0.0068,939661,1596711427,-3.7588801,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1185,1788965957.6987,TOUCH,1,0,1.0000,-0.0068,939662,1596713947,-3.7054610,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1211,1788965957.7013,TOUCH,1,0,1.0000,-0.0067,939663,1596716594,-3.7152529,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1237,1788965957.7039,TOUCH,1,0,1.0000,-0.0065,939664,1596719157,-3.7101097,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1261,1788965957.7063,TOUCH,1,0,1.0000,-0.0063,939665,1596721540,-3.7065144,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1287,1788965957.7089,TOUCH,1,0,1.0000,-0.0061,939666,1596724130,-3.7816920,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1313,1788965957.7115,TOUCH,1,0,1.0000,-0.0062,939667,1596726733,-3.7614417,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1339,1788965957.7141,TOUCH,1,0,1.0000,-0.0063,939668,1596729389,-3.7512319,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1366,1788965957.7168,TOUCH,1,0,1.0000,-0.0063,939669,1596732025,-3.7586558,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
