t_mono_s,source,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad
4610.378147,sim,1.270772,-0.216405,-2.623379,1.267701,-1.570819,-0.222315
4610.378425,sim,1.270773,-0.216421,-2.623374,1.267725,-1.570823,-0.222310
4610.378595,sim,1.270774,-0.216408,-2.623377,1.267707,-1.570820,-0.222314
4610.378770,sim,1.270773,-0.216424,-2.623373,1.267728,-1.570822,-0.222310
4610.378920,sim,1.270772,-0.216408,-2.623378,1.267702,-1.570818,-0.222316
4610.379103,sim,1.270773,-0.216425,-2.623373,1.267729,-1.570823,-0.222309
4610.379255,sim,1.270772,-0.216409,-2.623378,1.267702,-1.570818,-0.222316
4610.379421,sim,1.270773,-0.216422,-2.623373,1.267728,-1.570823,-0.222309
4610.379578,sim,1.270772,-0.216406,-2.623379,1.267700,-1.570818,-0.222316
4610.379715,sim,1.270773,-0.216422,-2.623374,1.267727,-1.570823,-0.222309
4610.379852,sim,1.270772,-0.216404,-2.623379,1.267702,-1.570819,-0.222314
4610.379988,sim,1.270774,-0.216425,-2.623373,1.267729,-1.570823,-0.222310
4610.380135,sim,1.270772,-0.216407,-2.623378,1.267703,-1.570819,-0.222315
4610.380275,sim,1.270773,-0.216423,-2.623374,1.267725,-1.570822,-0.222311
4610.380409,sim,1.270772,-0.216407,-2.623378,1.267703,-1.570819,-0.222315
4610.380544,sim,1.270773,-0.216422,-2.623374,1.267725,-1.570823,-0.222310
4610.380681,sim,1.270773,-0.216409,-2.623378,1.267704,-1.570818,-0.222315
4610.380808,sim,1.270772,-0.216421,-2.623374,1.267726,-1.570823,-0.222309
4610.380934,sim,1.270773,-0.216407,-2.623378,1.267704,-1.570819,-0.222315
4610.381073,sim,1.270773,-0.216425,-2.623373,1.267729,-1.570822,-0.222310
4610.381206,sim,1.270772,-0.216404,-2.623379,1.267701,-1.570819,-0.222315
4610.381338,sim,1.270773,-0.216423,-2.623374,1.267726,-1.570822,-0.222310
4610.381467,sim,1.270772,-0.216407,-2.623378,1.267703,-1.570819,-0.222315
4610.381597,sim,1.270774,-0.216425,-2.623373,1.267729,-1.570822,-0.222310
4610.381979,sim,1.270772,-0.216409,-2.623378,1.267702,-1.570818,-0.222316
4610.382131,sim,1.270773,-0.216423,-2.623373,1.267728,-1.570823,-0.222309
4610.382289,sim,1.270772,-0.216404,-2.623379,1.267701,-1.570819,-0.222315
4610.382434,sim,1.270773,-0.216421,-2.623374,1.267726,-1.570823,-0.222310
4610.382561,sim,1.270773,-0.216407,-2.623378,1.267704,-1.570819,-0.222315
4610.382715,sim,1.270773,-0.216423,-2.623373,1.267728,-1.570823,-0.222310
4610.382845,sim,1.270772,-0.216407,-2.623378,1.267701,-1.570818,-0.222316
4610.382972,sim,1.270773,-0.216423,-2.623374,1.267727,-1.570823,-0.222310
4610.383108,sim,1.270772,-0.216406,-2.623378,1.267703,-1.570819,-0.222314
4610.383233,sim,1.270773,-0.216423,-2.623373,1.267728,-1.570823,-0.222310
4610.383357,sim,1.270773,-0.216409,-2.623377,1.267705,-1.570819,-0.222315
4610.383484,sim,1.270773,-0.216424,-2.623373,1.267727,-1.570822,-0.222311
4610.383808,sim,1.270772,-0.216406,-2.623379,1.267699,-1.570818,-0.222316
