t_mono_s,source,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad
4325.374365,sim,1.363602,0.037037,-2.410961,0.635592,-1.312487,0.496397
4325.377064,sim,1.363603,0.037024,-2.410961,0.635589,-1.312484,0.496393
4325.380923,sim,1.363602,0.037040,-2.410961,0.635592,-1.312488,0.496398
4325.384989,sim,1.363605,0.037013,-2.410959,0.635591,-1.312484,0.496392
4325.388864,sim,1.363601,0.037041,-2.410963,0.635590,-1.312484,0.496398
4325.392929,sim,1.363606,0.037016,-2.410961,0.635591,-1.312485,0.496393
4325.396905,sim,1.363602,0.037039,-2.410963,0.635593,-1.312486,0.496398
4325.400841,sim,1.363606,0.037013,-2.410962,0.635594,-1.312486,0.496393
4325.404798,sim,1.363602,0.037037,-2.410965,0.635596,-1.312486,0.496397
4325.408978,sim,1.363605,0.037020,-2.410964,0.635594,-1.312485,0.496394
4325.413143,sim,1.363602,0.037039,-2.410966,0.635597,-1.312487,0.496398
4325.416935,sim,1.363605,0.037016,-2.410965,0.635599,-1.312485,0.496393
4325.420882,sim,1.363602,0.037037,-2.410967,0.635603,-1.312487,0.496398
4325.424884,sim,1.363606,0.037013,-2.410965,0.635606,-1.312485,0.496393
4325.428932,sim,1.363601,0.037038,-2.410967,0.635610,-1.312486,0.496398
4325.433080,sim,1.363607,0.036997,-2.410963,0.635613,-1.312485,0.496392
4325.436883,sim,1.363600,0.037045,-2.410968,0.635612,-1.312484,0.496398
4325.440877,sim,1.363606,0.037019,-2.410966,0.635616,-1.312486,0.496394
4325.444834,sim,1.363601,0.037040,-2.410967,0.635620,-1.312486,0.496398
4325.448891,sim,1.363606,0.037007,-2.410963,0.635626,-1.312486,0.496393
4325.452911,sim,1.363600,0.037040,-2.410966,0.635627,-1.312485,0.496398
4325.456924,sim,1.363604,0.037025,-2.410965,0.635630,-1.312485,0.496394
4325.461605,sim,1.363603,0.037027,-2.410962,0.635638,-1.312488,0.496397
4325.464920,sim,1.363603,0.037017,-2.410962,0.635638,-1.312483,0.496393
4325.468943,sim,1.363600,0.037051,-2.410966,0.635636,-1.312486,0.496399
4325.473142,sim,1.363604,0.037026,-2.410963,0.635638,-1.312485,0.496394
4325.476969,sim,1.363599,0.037050,-2.410965,0.635641,-1.312486,0.496399
4325.480987,sim,1.363604,0.037022,-2.410962,0.635644,-1.312486,0.496394
4325.484888,sim,1.363599,0.037049,-2.410965,0.635644,-1.312485,0.496399
4325.488959,sim,1.363604,0.037017,-2.410961,0.635647,-1.312486,0.496393
4325.493081,sim,1.363599,0.037042,-2.410964,0.635647,-1.312486,0.496398
4325.496915,sim,1.363602,0.037023,-2.410964,0.635646,-1.312484,0.496394
4325.500869,sim,1.363599,0.037044,-2.410965,0.635647,-1.312486,0.496398
4325.504894,sim,1.363602,0.037023,-2.410964,0.635646,-1.312484,0.496394
4325.508879,sim,1.363599,0.037045,-2.410967,0.635647,-1.312486,0.496398
4325.513015,sim,1.363602,0.037023,-2.410966,0.635646,-1.312484,0.496394
4325.516892,sim,1.363599,0.037045,-2.410968,0.635647,-1.312486,0.496398
4325.520995,sim,1.363602,0.037027,-2.410968,0.635645,-1.312485,0.496394
4325.525064,sim,1.363598,0.037051,-2.410970,0.635645,-1.312485,0.496399
4325.529029,sim,1.363603,0.037023,-2.410968,0.635645,-1.312485,0.496394
4325.532955,sim,1.363598,0.037047,-2.410971,0.635644,-1.312484,0.496399
