t_rel_s,sim_joint6_deg,real_joint6_deg
0.0000,18.8670,18.8674
0.0040,18.8675,18.8674
0.0080,18.8673,18.8674
0.0120,18.8676,18.8674
0.0160,18.8672,18.8674
0.0200,18.8676,18.8674
0.0240,18.8673,18.8674
0.0280,18.8675,18.8674
0.0320,18.8673,18.8674
0.0360,18.8675,18.8674
0.0400,18.8671,18.8674
0.0440,18.8676,18.8674
0.0480,18.8674,18.8674
0.0520,18.8675,18.8674
0.0560,18.8673,18.8674
0.0600,18.8675,18.8674
0.0640,18.8673,18.8675
0.0680,18.8677,18.8674
0.0720,18.8672,18.8674
0.0760,18.8674,18.8674
0.0800,18.8673,18.8674
0.0840,18.8675,18.8674
0.0880,18.8674,18.8674
0.0920,18.8676,18.8674
0.0960,18.8674,18.8674
0.1000,18.8677,18.8674
0.1040,18.8672,18.8674
0.1080,18.8675,18.8674
0.1120,18.8673,18.8674
0.1160,18.8676,18.8674
0.1200,18.8674,18.8674
0.1240,18.8676,18.8674
0.1280,18.8673,18.8674
0.1320,18.8676,18.8674
0.1360,18.8673,18.8674
0.1400,18.8676,18.8674
0.1440,18.8673,18.8674
0.1480,18.8676,18.8674
0.1520,18.8674,18.8674
0.1560,18.8676,18.8674
0.1600,18.8672,18.8674
0.1640,18.8675,18.8675
0.1680,18.8673,18.8675
0.1720,18.8676,18.8675
0.1760,18.8673,18.8675
0.1800,18.8675,18.8675
0.1840,18.8673,18.8675
0.1880,18.8676,18.8675
0.1920,18.8673,18.8675
0.1960,18.8675,18.8675
0.2000,18.8673,18.8675
0.2040,18.8676,18.8675
0.2080,18.8673,18.8675
0.2120,18.8677,18.8675
0.2160,18.8674,18.8675
0.2200,18.8676,18.8675
0.2240,18.8673,18.8675
0.2280,18.8675,18.8676
0.2320,18.8673,18.8676
0.2360,18.8677,18.8676
0.2400,18.8673,18.8676
0.2440,18.8676,18.8676
0.2480,18.8673,18.8676
0.2520,18.8677,18.8676
0.2560,18.8673,18.8676
0.2600,18.8676,18.8676
0.2640,18.8674,18.8676
0.2680,18.8678,18.8677
0.2720,18.8674,18.8677
0.2760,18.8677,18.8677
0.2800,18.8674,18.8677
0.2840,18.8676,18.8677
0.2880,18.8673,18.8677
0.2920,18.8677,18.8677
0.2960,18.8674,18.8677
0.3000,18.8677,18.8677
0.3040,18.8675,18.8677
0.3080,18.8677,18.8677
0.3120,18.8674,18.8677
0.3160,18.8677,18.8677
0.3200,18.8675,18.8678
0.3240,18.8677,18.8678
0.3280,18.8675,18.8678
0.3320,18.8677,18.8678
