t_rel_s,sim_joint5_deg,real_joint5_deg
0.0000,-91.1678,-91.1678
0.0040,-91.1675,-91.1678
0.0080,-91.1680,-91.1678
0.0120,-91.1676,-91.1678
0.0160,-91.1680,-91.1678
0.0200,-91.1677,-91.1678
0.0240,-91.1679,-91.1678
0.0280,-91.1676,-91.1678
0.0320,-91.1681,-91.1678
0.0360,-91.1676,-91.1678
0.0400,-91.1680,-91.1678
0.0440,-91.1676,-91.1678
0.0480,-91.1680,-91.1678
0.0520,-91.1675,-91.1678
0.0560,-91.1679,-91.1678
0.0600,-91.1676,-91.1678
0.0640,-91.1681,-91.1678
0.0680,-91.1676,-91.1678
0.0720,-91.1681,-91.1678
0.0760,-91.1677,-91.1678
0.0800,-91.1679,-91.1678
0.0840,-91.1675,-91.1678
0.0880,-91.1681,-91.1678
0.0920,-91.1677,-91.1678
0.0960,-91.1680,-91.1678
0.1000,-91.1676,-91.1678
0.1040,-91.1679,-91.1678
0.1080,-91.1675,-91.1678
0.1120,-91.1680,-91.1678
0.1160,-91.1676,-91.1678
0.1200,-91.1680,-91.1678
0.1240,-91.1677,-91.1678
0.1280,-91.1680,-91.1678
0.1320,-91.1676,-91.1678
0.1360,-91.1680,-91.1678
0.1400,-91.1675,-91.1678
0.1440,-91.1680,-91.1678
0.1480,-91.1676,-91.1678
0.1520,-91.1680,-91.1678
0.1560,-91.1678,-91.1678
0.1600,-91.1680,-91.1678
0.1640,-91.1677,-91.1678
0.1680,-91.1680,-91.1678
0.1720,-91.1677,-91.1678
0.1760,-91.1680,-91.1678
0.1800,-91.1676,-91.1678
0.1840,-91.1679,-91.1678
0.1880,-91.1676,-91.1678
0.1920,-91.1679,-91.1678
0.1960,-91.1676,-91.1678
0.2000,-91.1679,-91.1678
0.2040,-91.1677,-91.1678
0.2080,-91.1679,-91.1678
0.2120,-91.1676,-91.1678
0.2160,-91.1679,-91.1678
0.2200,-91.1675,-91.1678
0.2240,-91.1679,-91.1678
0.2280,-91.1676,-91.1678
0.2320,-91.1681,-91.1678
0.2360,-91.1677,-91.1678
0.2400,-91.1680,-91.1679
0.2440,-91.1675,-91.1679
0.2480,-91.1680,-91.1679
0.2520,-91.1675,-91.1679
0.2560,-91.1679,-91.1679
0.2600,-91.1677,-91.1679
0.2640,-91.1678,-91.1680
0.2680,-91.1677,-91.1680
0.2720,-91.1680,-91.1680
0.2760,-91.1676,-91.1680
0.2800,-91.1679,-91.1680
0.2840,-91.1676,-91.1680
0.2880,-91.1680,-91.1681
0.2920,-91.1677,-91.1681
0.2960,-91.1680,-91.1681
0.3000,-91.1677,-91.1681
0.3040,-91.1680,-91.1681
0.3080,-91.1677,-91.1681
0.3120,-91.1681,-91.1682
0.3160,-91.1677,-91.1682
0.3200,-91.1680,-91.1682
0.3240,-91.1677,-91.1682
0.3280,-91.1681,-91.1683
0.3320,-91.1679,-91.1683
0.3360,-91.1680,-91.1683
0.3400,-91.1679,-91.1683
0.3440,-91.1682,-91.1684
0.3480,-91.1679,-91.1684
0.3520,-91.1682,-91.1684
0.3560,-91.1679,-91.1684
0.3600,-91.1682,-91.1684
0.3640,-91.1680,-91.1684
0.3680,-91.1683,-91.1684
0.3720,-91.1680,-91.1685
0.3760,-91.1682,-91.1685
0.3800,-91.1680,-91.1686
0.3840,-91.1683,-91.1686
0.3880,-91.1681,-91.1686
0.3920,-91.1683,-91.1687
0.3960,-91.1681,-91.1687
0.4000,-91.1683,-91.1687
0.4040,-91.1681,-91.1688
0.4080,-91.1684,-91.1688
0.4120,-91.1682,-91.1688
0.4160,-91.1684,-91.1688
0.4200,-91.1682,-91.1688
0.4240,-91.1686,-91.1687
0.4280,-91.1683,-91.1687
0.4320,-91.1685,-91.1687
0.4360,-91.1682,-91.1687
0.4400,-91.1686,-91.1687
0.4440,-91.1684,-91.1687
0.4480,-91.1687,-91.1687
0.4520,-91.1684,-91.1687
0.4560,-91.1687,-91.1687
0.4600,-91.1685,-91.1687
0.4640,-91.1688,-91.1687
0.4680,-91.1685,-91.1687
0.4720,-91.1687,-91.1687
0.4760,-91.1686,-91.1687
0.4800,-91.1688,-91.1686
0.4840,-91.1686,-91.1686
0.4880,-91.1689,-91.1686
0.4920,-91.1686,-91.1686
0.4960,-91.1689,-91.1686
0.5000,-91.1686,-91.1686
0.5040,-91.1688,-91.1686
0.5080,-91.1686,-91.1686
0.5120,-91.1688,-91.1686
0.5160,-91.1686,-91.1686
0.5200,-91.1688,-91.1686
0.5240,-91.1685,-91.1686
0.5280,-91.1688,-91.1686
0.5320,-91.1685,-91.1686
0.5360,-91.1687,-91.1686
0.5400,-91.1685,-91.1686
0.5440,-91.1688,-91.1686
0.5480,-91.1686,-91.1686
0.5520,-91.1687,-91.1686
0.5560,-91.1685,-91.1686
0.5600,-91.1687,-91.1686
0.5640,-91.1685,-91.1686
0.5680,-91.1689,-91.1686
0.5720,-91.1686,-91.1686
0.5760,-91.1687,-91.1686
0.5800,-91.1685,-91.1686
0.5840,-91.1686,-91.1686
0.5880,-91.1684,-91.1686
0.5920,-91.1686,-91.1686
0.5960,-91.1684,-91.1686
0.6000,-91.1686,-91.1686
0.6040,-91.1685,-91.1687
0.6080,-91.1687,-91.1687
0.6120,-91.1685,-91.1687
0.6160,-91.1687,-91.1687
0.6200,-91.1685,-91.1687
0.6240,-91.1687,-91.1687
0.6280,-91.1685,-91.1687
