captura,condicao,junta,amp_deg,lag_ms,peak_corr,mae_deg,rmse_deg,emax_deg,r_pearson,rmse_sem_compensar_deg
latency_real_to_sim_20260910_123823,GUI jog,joint4,1.374123,-73.718976,0.999948,0.004166,0.014019,0.208589,0.999948,0.102921
latency_real_to_sim_20260910_123823,GUI jog,joint5,1.483255,-74.747103,0.999967,0.003212,0.012032,0.150314,0.999967,0.091213
latency_real_to_sim_20260910_123823,GUI jog,joint6,1.219445,-72.664965,0.999964,0.003462,0.010375,0.096335,0.999964,0.106748
latency_real_to_sim_20260910_123854,drag teach,joint1,0.437942,-71.472407,0.999928,0.001246,0.005407,0.062940,0.999928,0.058936
latency_real_to_sim_20260910_123854,drag teach,joint2,1.097957,-71.592636,0.999977,0.002176,0.007525,0.064373,0.999977,0.064389
latency_real_to_sim_20260910_123854,drag teach,joint3,0.880499,-71.706634,0.999982,0.001709,0.005324,0.047597,0.999982,0.060231
latency_real_to_sim_20260910_123854,drag teach,joint4,0.912750,-71.256682,0.999958,0.002737,0.008544,0.073836,0.999958,0.079881
latency_real_to_sim_20260910_123854,drag teach,joint5,1.242484,-72.293270,0.999987,0.002347,0.006331,0.045112,0.999987,0.085969
latency_real_to_sim_20260910_123854,drag teach,joint6,0.731418,-72.428702,0.999965,0.002179,0.006421,0.045775,0.999965,0.090411
latency_real_to_sim_20260910_123923,drag teach,joint1,0.469865,-71.171081,0.999905,0.001680,0.006670,0.067148,0.999905,0.066304
latency_real_to_sim_20260910_123923,drag teach,joint2,0.773436,-71.419115,0.999947,0.002457,0.008154,0.067942,0.999947,0.071227
latency_real_to_sim_20260910_123923,drag teach,joint3,0.894636,-71.391468,0.999964,0.002414,0.007781,0.065424,0.999964,0.075149
latency_real_to_sim_20260910_123923,drag teach,joint4,0.889263,-72.211265,0.999950,0.003059,0.008953,0.086022,0.999950,0.080864
latency_real_to_sim_20260910_123923,drag teach,joint5,0.866728,-73.895528,0.999906,0.002969,0.011934,0.182146,0.999906,0.087540
latency_real_to_sim_20260910_123923,drag teach,joint6,0.668969,-73.473660,0.999895,0.002688,0.009831,0.153176,0.999895,0.091147
latency_real_to_sim_20260910_124223,drag teach,joint1,0.427438,-72.446536,0.999679,0.002666,0.011091,0.153441,0.999679,0.071381
latency_real_to_sim_20260910_124223,drag teach,joint2,0.759603,-71.275160,0.999954,0.002280,0.007366,0.078149,0.999954,0.071656
latency_real_to_sim_20260910_124223,drag teach,joint3,0.888197,-71.436505,0.999961,0.002279,0.007897,0.067427,0.999961,0.076140
latency_real_to_sim_20260910_124223,drag teach,joint4,0.885735,-72.399918,0.999923,0.002999,0.011065,0.160608,0.999923,0.081480
latency_real_to_sim_20260910_124223,drag teach,joint5,0.869608,-71.517865,0.999958,0.002442,0.008214,0.065489,0.999958,0.085976
latency_real_to_sim_20260910_124223,drag teach,joint6,0.672592,-72.480903,0.999918,0.002700,0.008970,0.074623,0.999918,0.090907
latency_real_to_sim_20260910_124249,drag teach,joint1,0.415192,-72.685570,0.999802,0.002026,0.008906,0.076048,0.999802,0.065304
latency_real_to_sim_20260910_124249,drag teach,joint2,0.662092,-72.368830,0.999967,0.001710,0.005334,0.049529,0.999967,0.065390
latency_real_to_sim_20260910_124249,drag teach,joint3,0.790661,-71.473702,0.999971,0.001797,0.006105,0.067302,0.999971,0.068020
latency_real_to_sim_20260910_124249,drag teach,joint4,0.964763,-71.365690,0.999948,0.003423,0.010028,0.067781,0.999948,0.090197
latency_real_to_sim_20260910_124249,drag teach,joint5,0.934821,-71.424838,0.999957,0.002772,0.008948,0.081973,0.999957,0.084425
latency_real_to_sim_20260910_124249,drag teach,joint6,1.280793,-71.917192,0.999973,0.003599,0.009815,0.066932,0.999973,0.089186
latency_real_to_sim_20260910_124621,GUI jog,joint2,0.751681,-74.744495,0.999907,0.002540,0.010763,0.219949,0.999907,0.074231
latency_real_to_sim_20260910_124621,GUI jog,joint3,5.276072,-74.656770,0.999996,0.005671,0.015072,0.169798,0.999996,0.133821
latency_real_to_sim_20260910_124621,GUI jog,joint4,2.722163,-73.606418,0.999971,0.005796,0.020946,0.220897,0.999971,0.123349
latency_real_to_sim_20260910_124621,GUI jog,joint5,9.266631,-74.554659,0.999998,0.006036,0.016341,0.162873,0.999998,0.136867
latency_real_to_sim_20260910_124621,GUI jog,joint6,2.830642,-76.057115,0.999989,0.004126,0.013480,0.162691,0.999989,0.103612
