t_mono_s,source,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad
4551.800293,sim,1.270769,-0.216421,-2.623479,1.267771,-1.570816,-0.222379
4551.803760,sim,1.270769,-0.216439,-2.623474,1.267795,-1.570819,-0.222375
4551.807790,sim,1.270769,-0.216423,-2.623479,1.267772,-1.570815,-0.222379
4551.811797,sim,1.270769,-0.216439,-2.623474,1.267797,-1.570820,-0.222374
4551.815778,sim,1.270769,-0.216425,-2.623479,1.267771,-1.570814,-0.222380
4551.819898,sim,1.270769,-0.216440,-2.623474,1.267795,-1.570818,-0.222375
4551.823747,sim,1.270768,-0.216421,-2.623479,1.267771,-1.570815,-0.222379
4551.828145,sim,1.270769,-0.216438,-2.623474,1.267797,-1.570820,-0.222373
4551.831789,sim,1.270768,-0.216423,-2.623480,1.267769,-1.570814,-0.222381
4551.835749,sim,1.270769,-0.216438,-2.623474,1.267796,-1.570820,-0.222374
4551.839778,sim,1.270768,-0.216421,-2.623480,1.267769,-1.570815,-0.222380
4551.843801,sim,1.270769,-0.216438,-2.623474,1.267797,-1.570820,-0.222374
4551.847951,sim,1.270767,-0.216419,-2.623481,1.267766,-1.570815,-0.222380
4551.851735,sim,1.270769,-0.216436,-2.623475,1.267795,-1.570821,-0.222373
4551.855813,sim,1.270768,-0.216420,-2.623480,1.267771,-1.570816,-0.222379
4551.859717,sim,1.270770,-0.216441,-2.623474,1.267798,-1.570819,-0.222374
4551.863778,sim,1.270769,-0.216424,-2.623479,1.267772,-1.570815,-0.222380
4551.867767,sim,1.270769,-0.216439,-2.623474,1.267798,-1.570820,-0.222373
4551.871786,sim,1.270769,-0.216425,-2.623478,1.267774,-1.570815,-0.222379
4551.875745,sim,1.270769,-0.216441,-2.623474,1.267796,-1.570819,-0.222375
4551.879741,sim,1.270768,-0.216422,-2.623479,1.267771,-1.570815,-0.222380
4551.883705,sim,1.270769,-0.216438,-2.623475,1.267794,-1.570819,-0.222375
4551.887778,sim,1.270769,-0.216422,-2.623479,1.267772,-1.570816,-0.222379
4551.891784,sim,1.270769,-0.216437,-2.623475,1.267794,-1.570819,-0.222375
4551.895736,sim,1.270769,-0.216424,-2.623478,1.267775,-1.570816,-0.222379
4551.899758,sim,1.270769,-0.216440,-2.623474,1.267796,-1.570819,-0.222375
4551.903703,sim,1.270769,-0.216423,-2.623479,1.267773,-1.570815,-0.222379
4551.907866,sim,1.270769,-0.216438,-2.623475,1.267795,-1.570819,-0.222375
4551.911774,sim,1.270769,-0.216422,-2.623479,1.267772,-1.570816,-0.222379
4551.915676,sim,1.270769,-0.216438,-2.623475,1.267795,-1.570819,-0.222375
4551.919714,sim,1.270769,-0.216422,-2.623479,1.267772,-1.570816,-0.222379
4551.923780,sim,1.270769,-0.216440,-2.623474,1.267796,-1.570819,-0.222375
4551.928029,sim,1.270768,-0.216422,-2.623480,1.267769,-1.570815,-0.222380
4551.931729,sim,1.270769,-0.216439,-2.623474,1.267797,-1.570820,-0.222374
4551.935756,sim,1.270768,-0.216422,-2.623480,1.267768,-1.570814,-0.222381
4551.939764,sim,1.270769,-0.216437,-2.623475,1.267796,-1.570820,-0.222374
4551.943738,sim,1.270768,-0.216420,-2.623480,1.267771,-1.570816,-0.222379
4551.947817,sim,1.270769,-0.216439,-2.623475,1.267795,-1.570819,-0.222375
4551.951727,sim,1.270768,-0.216421,-2.623480,1.267769,-1.570815,-0.222380
4551.955732,sim,1.270769,-0.216439,-2.623474,1.267797,-1.570820,-0.222374
4551.959693,sim,1.270768,-0.216421,-2.623480,1.267770,-1.570815,-0.222379
4551.963738,sim,1.270769,-0.216437,-2.623475,1.267794,-1.570819,-0.222374
4551.967777,sim,1.270769,-0.216422,-2.623479,1.267773,-1.570816,-0.222378
4551.971765,sim,1.270769,-0.216439,-2.623475,1.267793,-1.570818,-0.222376
4551.975741,sim,1.270769,-0.216423,-2.623478,1.267775,-1.570816,-0.222378
4551.979732,sim,1.270769,-0.216438,-2.623475,1.267795,-1.570819,-0.222375
4551.983742,sim,1.270769,-0.216424,-2.623479,1.267771,-1.570815,-0.222380
4551.987865,sim,1.270769,-0.216437,-2.623474,1.267796,-1.570820,-0.222374
4551.991694,sim,1.270769,-0.216425,-2.623478,1.267776,-1.570816,-0.222379
4551.995679,sim,1.270769,-0.216441,-2.623474,1.267796,-1.570818,-0.222375
4551.999745,sim,1.270769,-0.216424,-2.623479,1.267773,-1.570815,-0.222379
4552.003879,sim,1.270769,-0.216438,-2.623475,1.267794,-1.570819,-0.222375
4552.007918,sim,1.270768,-0.216422,-2.623479,1.267770,-1.570815,-0.222380
4552.011798,sim,1.270769,-0.216438,-2.623474,1.267797,-1.570820,-0.222374
4552.015750,sim,1.270768,-0.216420,-2.623480,1.267769,-1.570815,-0.222379
4552.019730,sim,1.270769,-0.216439,-2.623475,1.267792,-1.570818,-0.222376
4552.023840,sim,1.270769,-0.216425,-2.623478,1.267774,-1.570815,-0.222379
4552.028029,sim,1.270769,-0.216440,-2.623474,1.267795,-1.570818,-0.222375
4552.031711,sim,1.270768,-0.216421,-2.623480,1.267770,-1.570815,-0.222380
4552.035803,sim,1.270770,-0.216439,-2.623474,1.267799,-1.570820,-0.222373
4552.039864,sim,1.270768,-0.216421,-2.623480,1.267768,-1.570814,-0.222381
4552.043740,sim,1.270769,-0.216437,-2.623475,1.267796,-1.570820,-0.222373
4552.047763,sim,1.270768,-0.216421,-2.623479,1.267771,-1.570816,-0.222379
4552.051845,sim,1.270769,-0.216439,-2.623474,1.267795,-1.570819,-0.222375
4552.055833,sim,1.270769,-0.216425,-2.623479,1.267773,-1.570815,-0.222380
4552.059699,sim,1.270769,-0.216438,-2.623475,1.267795,-1.570819,-0.222374
4552.063710,sim,1.270768,-0.216420,-2.623480,1.267771,-1.570816,-0.222379
4552.067871,sim,1.270769,-0.216439,-2.623474,1.267795,-1.570819,-0.222375
4552.071713,sim,1.270768,-0.216419,-2.623480,1.267768,-1.570816,-0.222379
4552.075801,sim,1.270770,-0.216439,-2.623474,1.267797,-1.570820,-0.222374
4552.079725,sim,1.270769,-0.216423,-2.623478,1.267774,-1.570816,-0.222379
4552.083799,sim,1.270769,-0.216438,-2.623474,1.267795,-1.570819,-0.222374
4552.087847,sim,1.270768,-0.216422,-2.623479,1.267771,-1.570815,-0.222379
4552.091752,sim,1.270769,-0.216440,-2.623474,1.267795,-1.570819,-0.222375
4552.095696,sim,1.270768,-0.216422,-2.623479,1.267771,-1.570815,-0.222379
4552.099799,sim,1.270769,-0.216440,-2.623474,1.267795,-1.570819,-0.222375
4552.103938,sim,1.270768,-0.216421,-2.623479,1.267771,-1.570816,-0.222379
4552.108037,sim,1.270769,-0.216438,-2.623475,1.267795,-1.570819,-0.222374
4552.112015,sim,1.270769,-0.216424,-2.623479,1.267773,-1.570815,-0.222379
4552.116259,sim,1.270769,-0.216438,-2.623475,1.267794,-1.570819,-0.222374
4552.120043,sim,1.270769,-0.216423,-2.623479,1.267773,-1.570815,-0.222379
4552.124026,sim,1.270769,-0.216439,-2.623474,1.267795,-1.570819,-0.222375
4552.128267,sim,1.270768,-0.216421,-2.623479,1.267771,-1.570816,-0.222379
4552.131850,sim,1.270769,-0.216439,-2.623474,1.267795,-1.570819,-0.222375
4552.135865,sim,1.270769,-0.216423,-2.623479,1.267772,-1.570815,-0.222379
4552.140383,sim,1.270769,-0.216438,-2.623475,1.267794,-1.570819,-0.222375
4552.143962,sim,1.270769,-0.216423,-2.623479,1.267773,-1.570815,-0.222379
4552.148138,sim,1.270769,-0.216440,-2.623474,1.267797,-1.570819,-0.222374
4552.151929,sim,1.270769,-0.216424,-2.623478,1.267773,-1.570815,-0.222379
4552.156054,sim,1.270769,-0.216438,-2.623474,1.267795,-1.570819,-0.222375
4552.160022,sim,1.270768,-0.216422,-2.623479,1.267771,-1.570815,-0.222380
4552.164058,sim,1.270769,-0.216438,-2.623475,1.267794,-1.570819,-0.222375
4552.168042,sim,1.270768,-0.216420,-2.623480,1.267770,-1.570816,-0.222379
4552.171966,sim,1.270769,-0.216439,-2.623475,1.267795,-1.570819,-0.222375
4552.176415,sim,1.270768,-0.216421,-2.623480,1.267770,-1.570815,-0.222380
4552.179989,sim,1.270769,-0.216437,-2.623475,1.267793,-1.570819,-0.222375
4552.183938,sim,1.270769,-0.216421,-2.623479,1.267772,-1.570816,-0.222378
4552.188117,sim,1.270769,-0.216438,-2.623475,1.267795,-1.570819,-0.222374
4552.192041,sim,1.270769,-0.216424,-2.623479,1.267773,-1.570815,-0.222379
4552.196213,sim,1.270769,-0.216441,-2.623473,1.267798,-1.570819,-0.222375
4552.200115,sim,1.270768,-0.216423,-2.623479,1.267772,-1.570815,-0.222379
4552.203970,sim,1.270769,-0.216440,-2.623474,1.267796,-1.570819,-0.222375
4552.208177,sim,1.270768,-0.216422,-2.623479,1.267771,-1.570815,-0.222380
4552.212395,sim,1.270769,-0.216438,-2.623475,1.267794,-1.570819,-0.222375
4552.216032,sim,1.270768,-0.216421,-2.623480,1.267771,-1.570816,-0.222379
4552.219907,sim,1.270769,-0.216437,-2.623475,1.267795,-1.570819,-0.222374
4552.224099,sim,1.270768,-0.216421,-2.623480,1.267770,-1.570815,-0.222380
4552.228302,sim,1.270769,-0.216439,-2.623474,1.267796,-1.570819,-0.222374
4552.231965,sim,1.270768,-0.216421,-2.623480,1.267770,-1.570815,-0.222380
4552.236047,sim,1.270770,-0.216441,-2.623473,1.267799,-1.570820,-0.222374
4552.240406,sim,1.270768,-0.216425,-2.623479,1.267771,-1.570814,-0.222381
4552.244085,sim,1.270768,-0.216437,-2.623475,1.267795,-1.570820,-0.222357
4552.248119,sim,1.270769,-0.216422,-2.623479,1.267772,-1.570816,-0.222345
