t_rel_s,sim_joint6_deg,real_joint6_deg
0.0000,-12.7419,-12.7341
0.0040,-12.7418,-12.7341
0.0080,-12.7418,-12.7341
0.0120,-12.7419,-12.7341
0.0160,-12.7418,-12.7341
0.0200,-12.7420,-12.7341
0.0240,-12.7418,-12.7341
0.0280,-12.7420,-12.7341
0.0320,-12.7418,-12.7341
0.0360,-12.7420,-12.7341
0.0400,-12.7417,-12.7341
0.0440,-12.7420,-12.7341
0.0480,-12.7418,-12.7341
0.0520,-12.7420,-12.7341
0.0560,-12.7418,-12.7341
0.0600,-12.7420,-12.7341
0.0640,-12.7418,-12.7341
0.0680,-12.7420,-12.7341
0.0720,-12.7418,-12.7341
0.0760,-12.7420,-12.7341
0.0800,-12.7418,-12.7341
0.0840,-12.7420,-12.7341
0.0880,-12.7418,-12.7341
0.0920,-12.7420,-12.7341
0.0960,-12.7418,-12.7341
0.1000,-12.7420,-12.7341
0.1040,-12.7417,-12.7341
0.1080,-12.7420,-12.7341
0.1120,-12.7418,-12.7341
0.1160,-12.7420,-12.7341
0.1200,-12.7418,-12.7341
0.1240,-12.7420,-12.7341
0.1280,-12.7418,-12.7341
0.1320,-12.7420,-12.7341
0.1360,-12.7418,-12.7341
0.1400,-12.7420,-12.7341
0.1440,-12.7418,-12.7341
0.1480,-12.7420,-12.7341
0.1520,-12.7418,-12.7341
0.1560,-12.7420,-12.7341
0.1600,-12.7418,-12.7341
0.1640,-12.7420,-12.7341
0.1680,-12.7418,-12.7341
0.1720,-12.7420,-12.7341
0.1760,-12.7418,-12.7341
0.1800,-12.7420,-12.7341
0.1840,-12.7418,-12.7341
0.1880,-12.7420,-12.7341
0.1920,-12.7418,-12.7341
0.1960,-12.7420,-12.7341
0.2000,-12.7418,-12.7341
0.2040,-12.7420,-12.7341
0.2080,-12.7418,-12.7341
0.2120,-12.7420,-12.7341
0.2160,-12.7418,-12.7341
0.2200,-12.7420,-12.7341
0.2240,-12.7418,-12.7341
0.2280,-12.7420,-12.7341
0.2320,-12.7418,-12.7341
0.2360,-12.7420,-12.7341
0.2400,-12.7418,-12.7341
0.2440,-12.7420,-12.7341
0.2480,-12.7418,-12.7341
0.2520,-12.7420,-12.7341
0.2560,-12.7418,-12.7341
0.2600,-12.7420,-12.7341
0.2640,-12.7418,-12.7341
0.2680,-12.7420,-12.7341
0.2720,-12.7418,-12.7341
0.2760,-12.7420,-12.7341
0.2800,-12.7418,-12.7341
0.2840,-12.7420,-12.7341
0.2880,-12.7418,-12.7341
0.2920,-12.7420,-12.7341
0.2960,-12.7418,-12.7341
0.3000,-12.7420,-12.7341
0.3040,-12.7418,-12.7341
0.3080,-12.7420,-12.7341
0.3120,-12.7418,-12.7341
0.3160,-12.7420,-12.7341
0.3200,-12.7418,-12.7341
0.3240,-12.7420,-12.7341
0.3280,-12.7418,-12.7341
0.3320,-12.7420,-12.7341
0.3360,-12.7418,-12.7341
0.3400,-12.7420,-12.7341
0.3440,-12.7418,-12.7341
0.3480,-12.7420,-12.7341
0.3520,-12.7418,-12.7341
0.3560,-12.7420,-12.7341
0.3600,-12.7418,-12.7341
0.3640,-12.7420,-12.7341
0.3680,-12.7418,-12.7341
0.3720,-12.7420,-12.7341
0.3760,-12.7418,-12.7341
0.3800,-12.7420,-12.7341
0.3840,-12.7418,-12.7341
0.3880,-12.7420,-12.7341
0.3920,-12.7418,-12.7341
0.3960,-12.7420,-12.7341
0.4000,-12.7418,-12.7341
0.4040,-12.7420,-12.7341
0.4080,-12.7418,-12.7341
0.4120,-12.7420,-12.7341
0.4160,-12.7418,-12.7341
0.4200,-12.7420,-12.7341
0.4240,-12.7418,-12.7341
0.4280,-12.7420,-12.7341
0.4320,-12.7418,-12.7341
0.4360,-12.7420,-12.7341
0.4400,-12.7418,-12.7341
0.4440,-12.7420,-12.7341
0.4480,-12.7418,-12.7341
0.4520,-12.7420,-12.7341
0.4560,-12.7418,-12.7341
0.4600,-12.7420,-12.7341
0.4640,-12.7417,-12.7341
0.4680,-12.7420,-12.7341
0.4720,-12.7418,-12.7341
0.4760,-12.7420,-12.7341
0.4800,-12.7418,-12.7341
0.4840,-12.7420,-12.7341
0.4880,-12.7418,-12.7341
0.4920,-12.7420,-12.7341
0.4960,-12.7418,-12.7341
0.5000,-12.7420,-12.7341
0.5040,-12.7418,-12.7341
0.5080,-12.7420,-12.7341
0.5120,-12.7418,-12.7341
0.5160,-12.7420,-12.7341
0.5200,-12.7418,-12.7341
0.5240,-12.7420,-12.7341
0.5280,-12.7418,-12.7341
0.5320,-12.7420,-12.7341
0.5360,-12.7418,-12.7341
0.5400,-12.7420,-12.7341
0.5440,-12.7418,-12.7341
0.5480,-12.7420,-12.7341
0.5520,-12.7418,-12.7341
0.5560,-12.7420,-12.7341
0.5600,-12.7418,-12.7341
0.5640,-12.7420,-12.7341
0.5680,-12.7418,-12.7341
0.5720,-12.7420,-12.7341
0.5760,-12.7417,-12.7341
0.5800,-12.7420,-12.7341
0.5840,-12.7418,-12.7341
0.5880,-12.7420,-12.7341
0.5920,-12.7418,-12.7341
0.5960,-12.7420,-12.7341
0.6000,-12.7418,-12.7341
0.6040,-12.7420,-12.7341
0.6080,-12.7418,-12.7341
0.6120,-12.7420,-12.7341
0.6160,-12.7418,-12.7341
0.6200,-12.7420,-12.7341
0.6240,-12.7418,-12.7341
0.6280,-12.7420,-12.7341
0.6320,-12.7418,-12.7341
0.6360,-12.7420,-12.7341
0.6400,-12.7418,-12.7341
0.6440,-12.7420,-12.7341
0.6480,-12.7418,-12.7341
0.6520,-12.7420,-12.7341
