t_mono_s,source,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad
4352.240686,sim,1.412119,-0.083461,-2.646577,1.201172,-1.573958,0.329292
4352.243413,sim,1.412118,-0.083459,-2.646574,1.201190,-1.573967,0.329304
4352.247435,sim,1.412120,-0.083468,-2.646575,1.201178,-1.573959,0.329293
4352.251377,sim,1.412117,-0.083449,-2.646575,1.201191,-1.573970,0.329307
4352.255383,sim,1.412120,-0.083468,-2.646576,1.201174,-1.573956,0.329290
4352.259480,sim,1.412117,-0.083450,-2.646575,1.201193,-1.573971,0.329307
4352.263375,sim,1.412119,-0.083459,-2.646577,1.201174,-1.573959,0.329292
4352.267383,sim,1.412118,-0.083457,-2.646575,1.201191,-1.573968,0.329304
4352.271261,sim,1.412119,-0.083461,-2.646577,1.201176,-1.573959,0.329293
4352.275319,sim,1.412117,-0.083443,-2.646578,1.201187,-1.573970,0.329306
4352.279695,sim,1.412119,-0.083464,-2.646578,1.201170,-1.573955,0.329288
4352.283262,sim,1.412117,-0.083449,-2.646577,1.201190,-1.573969,0.329306
4352.287325,sim,1.412120,-0.083461,-2.646577,1.201180,-1.573961,0.329295
4352.291390,sim,1.412117,-0.083454,-2.646576,1.201192,-1.573968,0.329305
4352.295434,sim,1.412120,-0.083464,-2.646577,1.201176,-1.573958,0.329291
4352.299309,sim,1.412116,-0.083443,-2.646578,1.201186,-1.573969,0.329305
4352.303266,sim,1.412120,-0.083464,-2.646578,1.201173,-1.573957,0.329290
4352.307433,sim,1.412118,-0.083445,-2.646576,1.201194,-1.573972,0.329309
4352.311324,sim,1.412119,-0.083465,-2.646576,1.201177,-1.573958,0.329292
4352.315279,sim,1.412117,-0.083462,-2.646575,1.201189,-1.573965,0.329302
4352.319428,sim,1.412120,-0.083473,-2.646574,1.201182,-1.573958,0.329293
4352.323470,sim,1.412116,-0.083451,-2.646576,1.201188,-1.573968,0.329304
4352.327370,sim,1.412120,-0.083456,-2.646577,1.201175,-1.573960,0.329293
4352.331320,sim,1.412117,-0.083443,-2.646577,1.201188,-1.573970,0.329306
4352.335314,sim,1.412120,-0.083464,-2.646576,1.201178,-1.573959,0.329293
4352.339470,sim,1.412117,-0.083451,-2.646574,1.201194,-1.573971,0.329308
4352.343370,sim,1.412119,-0.083462,-2.646577,1.201174,-1.573957,0.329291
4352.347264,sim,1.412117,-0.083448,-2.646576,1.201186,-1.573968,0.329304
4352.351336,sim,1.412119,-0.083457,-2.646577,1.201174,-1.573959,0.329293
4352.355361,sim,1.412117,-0.083439,-2.646577,1.201185,-1.573970,0.329305
4352.359459,sim,1.412120,-0.083461,-2.646575,1.201179,-1.573960,0.329295
4352.363330,sim,1.412117,-0.083453,-2.646574,1.201194,-1.573969,0.329307
4352.367266,sim,1.412118,-0.083463,-2.646576,1.201177,-1.573958,0.329292
4352.371306,sim,1.412117,-0.083456,-2.646574,1.201193,-1.573968,0.329305
4352.375304,sim,1.412118,-0.083460,-2.646576,1.201177,-1.573959,0.329293
4352.379386,sim,1.412117,-0.083433,-2.646578,1.201186,-1.573971,0.329306
4352.383299,sim,1.412119,-0.083469,-2.646575,1.201178,-1.573956,0.329290
4352.387267,sim,1.412116,-0.083451,-2.646574,1.201197,-1.573970,0.329308
4352.391329,sim,1.412118,-0.083464,-2.646575,1.201183,-1.573959,0.329293
4352.395357,sim,1.412116,-0.083455,-2.646573,1.201201,-1.573969,0.329306
4352.399362,sim,1.412117,-0.083459,-2.646575,1.201182,-1.573958,0.329291
4352.403436,sim,1.412117,-0.083455,-2.646573,1.201199,-1.573967,0.329303
4352.407297,sim,1.412117,-0.083452,-2.646575,1.201186,-1.573961,0.329293
4352.411370,sim,1.412116,-0.083449,-2.646574,1.201201,-1.573969,0.329305
4352.415335,sim,1.412118,-0.083459,-2.646573,1.201192,-1.573961,0.329294
4352.419515,sim,1.412115,-0.083440,-2.646574,1.201200,-1.573969,0.329303
4352.423377,sim,1.412118,-0.083462,-2.646572,1.201195,-1.573960,0.329293
4352.427319,sim,1.412114,-0.083445,-2.646571,1.201212,-1.573972,0.329307
4352.431378,sim,1.412118,-0.083455,-2.646572,1.201197,-1.573962,0.329292
4352.435351,sim,1.412115,-0.083439,-2.646572,1.201209,-1.573973,0.329306
4352.439450,sim,1.412117,-0.083450,-2.646573,1.201195,-1.573963,0.329291
4352.443318,sim,1.412114,-0.083435,-2.646572,1.201215,-1.573978,0.329307
4352.447269,sim,1.412115,-0.083454,-2.646571,1.201203,-1.573968,0.329292
4352.451379,sim,1.412111,-0.083437,-2.646570,1.201220,-1.573983,0.329307
4352.455351,sim,1.412112,-0.083440,-2.646572,1.201205,-1.573978,0.329294
4352.459327,sim,1.412107,-0.083437,-2.646570,1.201221,-1.573990,0.329305
4352.463394,sim,1.412106,-0.083442,-2.646572,1.201207,-1.573986,0.329292
4352.467423,sim,1.412104,-0.083431,-2.646572,1.201218,-1.573994,0.329304
4352.471409,sim,1.412102,-0.083439,-2.646572,1.201208,-1.573995,0.329293
4352.475389,sim,1.412094,-0.083418,-2.646573,1.201222,-1.574021,0.329307
4352.479595,sim,1.412088,-0.083440,-2.646572,1.201212,-1.574028,0.329293
4352.483581,sim,1.412076,-0.083436,-2.646569,1.201230,-1.574062,0.329306
4352.487340,sim,1.412066,-0.083450,-2.646570,1.201216,-1.574080,0.329291
4352.491372,sim,1.412051,-0.083432,-2.646569,1.201234,-1.574128,0.329308
4352.495387,sim,1.412038,-0.083437,-2.646572,1.201214,-1.574155,0.329292
4352.499552,sim,1.412036,-0.083426,-2.646571,1.201228,-1.574165,0.329305
4352.503395,sim,1.412020,-0.083434,-2.646573,1.201214,-1.574209,0.329293
4352.507374,sim,1.411997,-0.083413,-2.646572,1.201231,-1.574297,0.329310
4352.511301,sim,1.411972,-0.083437,-2.646572,1.201219,-1.574379,0.329295
4352.515388,sim,1.411939,-0.083432,-2.646570,1.201234,-1.574503,0.329307
4352.519438,sim,1.411906,-0.083443,-2.646570,1.201223,-1.574627,0.329295
4352.523237,sim,1.411904,-0.083433,-2.646570,1.201234,-1.574636,0.329307
4352.527398,sim,1.411867,-0.083448,-2.646571,1.201217,-1.574782,0.329291
4352.531407,sim,1.411819,-0.083422,-2.646573,1.201231,-1.574988,0.329308
4352.535341,sim,1.411772,-0.083435,-2.646574,1.201215,-1.575197,0.329294
4352.539435,sim,1.411713,-0.083416,-2.646575,1.201225,-1.575458,0.329307
4352.543381,sim,1.411656,-0.083440,-2.646573,1.201219,-1.575727,0.329297
4352.547319,sim,1.411588,-0.083419,-2.646575,1.201225,-1.576041,0.329308
4352.551326,sim,1.411522,-0.083443,-2.646575,1.201214,-1.576358,0.329294
4352.555245,sim,1.411518,-0.083435,-2.646574,1.201228,-1.576368,0.329307
4352.559537,sim,1.411448,-0.083447,-2.646574,1.201218,-1.576738,0.329296
4352.563317,sim,1.411364,-0.083437,-2.646574,1.201229,-1.577192,0.329308
4352.567359,sim,1.411281,-0.083443,-2.646575,1.201213,-1.577693,0.329296
4352.571293,sim,1.411188,-0.083415,-2.646578,1.201218,-1.578272,0.329308
4352.575275,sim,1.411097,-0.083445,-2.646576,1.201211,-1.578881,0.329295
4352.579548,sim,1.410996,-0.083435,-2.646575,1.201227,-1.579560,0.329309
4352.583360,sim,1.410898,-0.083453,-2.646574,1.201214,-1.580261,0.329295
4352.587230,sim,1.410894,-0.083430,-2.646575,1.201228,-1.580275,0.329312
4352.591342,sim,1.410795,-0.083446,-2.646576,1.201208,-1.581037,0.329294
4352.595374,sim,1.410691,-0.083426,-2.646575,1.201225,-1.581910,0.329312
4352.599575,sim,1.410591,-0.083439,-2.646577,1.201206,-1.582832,0.329295
4352.603314,sim,1.410488,-0.083430,-2.646575,1.201224,-1.583847,0.329311
4352.607323,sim,1.410391,-0.083451,-2.646574,1.201213,-1.584901,0.329296
4352.611418,sim,1.410289,-0.083434,-2.646574,1.201227,-1.586032,0.329311
4352.615534,sim,1.410291,-0.083439,-2.646576,1.201207,-1.586021,0.329296
4352.619328,sim,1.410194,-0.083429,-2.646576,1.201221,-1.587210,0.329310
4352.623317,sim,1.410105,-0.083443,-2.646575,1.201209,-1.588449,0.329298
4352.627360,sim,1.410013,-0.083413,-2.646577,1.201219,-1.589784,0.329313
4352.631395,sim,1.409931,-0.083444,-2.646575,1.201210,-1.591165,0.329299
4352.635360,sim,1.409846,-0.083434,-2.646574,1.201225,-1.592646,0.329312
4352.639308,sim,1.409769,-0.083449,-2.646574,1.201211,-1.594183,0.329298
