t_mono_s,source,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad
4287.409669,sim,1.357825,0.006659,-2.712012,1.093575,-1.591184,0.070490
4287.409937,sim,1.357831,0.006634,-2.712009,1.093567,-1.591174,0.070480
4287.410108,sim,1.357825,0.006662,-2.712013,1.093569,-1.591183,0.070488
4287.410305,sim,1.357830,0.006624,-2.712009,1.093565,-1.591170,0.070477
4287.410456,sim,1.357824,0.006663,-2.712012,1.093577,-1.591186,0.070492
4287.410618,sim,1.357831,0.006625,-2.712009,1.093564,-1.591170,0.070477
4287.410785,sim,1.357825,0.006668,-2.712013,1.093577,-1.591188,0.070494
4287.410986,sim,1.357831,0.006626,-2.712009,1.093562,-1.591168,0.070475
4287.411163,sim,1.357824,0.006665,-2.712013,1.093576,-1.591186,0.070492
4287.411303,sim,1.357831,0.006626,-2.712009,1.093564,-1.591170,0.070477
4287.411442,sim,1.357824,0.006665,-2.712013,1.093575,-1.591186,0.070492
4287.411581,sim,1.357832,0.006630,-2.712009,1.093566,-1.591172,0.070479
4287.411724,sim,1.357825,0.006666,-2.712013,1.093577,-1.591187,0.070493
4287.411860,sim,1.357831,0.006624,-2.712009,1.093562,-1.591168,0.070476
4287.411993,sim,1.357825,0.006667,-2.712013,1.093577,-1.591188,0.070494
4287.412210,sim,1.357831,0.006628,-2.712010,1.093564,-1.591171,0.070477
4287.412355,sim,1.357824,0.006667,-2.712014,1.093575,-1.591187,0.070493
4287.412515,sim,1.357830,0.006630,-2.712011,1.093562,-1.591170,0.070477
4287.412654,sim,1.357825,0.006665,-2.712013,1.093576,-1.591187,0.070492
4287.412791,sim,1.357831,0.006633,-2.712011,1.093564,-1.591172,0.070479
4287.412928,sim,1.357825,0.006664,-2.712014,1.093575,-1.591186,0.070492
4287.413075,sim,1.357830,0.006628,-2.712011,1.093562,-1.591169,0.070477
4287.413216,sim,1.357825,0.006662,-2.712014,1.093573,-1.591184,0.070490
4287.413375,sim,1.357831,0.006630,-2.712011,1.093564,-1.591171,0.070478
4287.413648,sim,1.357825,0.006657,-2.712013,1.093574,-1.591183,0.070490
4287.413809,sim,1.357831,0.006631,-2.712011,1.093565,-1.591172,0.070479
4287.413958,sim,1.357825,0.006660,-2.712014,1.093573,-1.591184,0.070490
4287.414331,sim,1.357832,0.006630,-2.712011,1.093566,-1.591173,0.070479
4287.414465,sim,1.357825,0.006662,-2.712014,1.093575,-1.591185,0.070491
4287.414604,sim,1.357831,0.006629,-2.712011,1.093565,-1.591172,0.070478
4287.414734,sim,1.357825,0.006667,-2.712015,1.093576,-1.591188,0.070493
4287.414872,sim,1.357830,0.006625,-2.712012,1.093560,-1.591168,0.070475
4287.415014,sim,1.357825,0.006664,-2.712015,1.093576,-1.591186,0.070492
4287.415154,sim,1.357831,0.006627,-2.712012,1.093563,-1.591170,0.070477
4287.415285,sim,1.357825,0.006668,-2.712016,1.093577,-1.591189,0.070494
4287.415416,sim,1.357831,0.006626,-2.712013,1.093561,-1.591168,0.070475
4287.415546,sim,1.357825,0.006665,-2.712016,1.093575,-1.591187,0.070492
4287.415673,sim,1.357832,0.006630,-2.712012,1.093565,-1.591172,0.070479
4287.415808,sim,1.357825,0.006668,-2.712017,1.093576,-1.591187,0.070493
4287.415936,sim,1.357831,0.006627,-2.712013,1.093561,-1.591169,0.070476
4287.416073,sim,1.357825,0.006661,-2.712016,1.093573,-1.591184,0.070490
4287.416202,sim,1.357831,0.006633,-2.712013,1.093565,-1.591173,0.070480
4287.416329,sim,1.357826,0.006664,-2.712017,1.093574,-1.591186,0.070491
4287.416477,sim,1.357831,0.006626,-2.712013,1.093562,-1.591169,0.070476
4287.416605,sim,1.357825,0.006665,-2.712017,1.093576,-1.591187,0.070492
4287.416732,sim,1.357832,0.006631,-2.712013,1.093564,-1.591171,0.070478
