t_mono_s,source,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad
4791.313650,sim,1.270774,-0.216412,-2.623406,1.267623,-1.570796,-0.222284
4791.317566,sim,1.270774,-0.216429,-2.623402,1.267646,-1.570799,-0.222279
4791.321357,sim,1.270774,-0.216413,-2.623406,1.267623,-1.570796,-0.222284
4791.325332,sim,1.270774,-0.216429,-2.623402,1.267646,-1.570799,-0.222279
4791.329325,sim,1.270775,-0.216414,-2.623406,1.267626,-1.570796,-0.222283
4791.333340,sim,1.270774,-0.216429,-2.623402,1.267644,-1.570799,-0.222280
4791.337462,sim,1.270774,-0.216412,-2.623406,1.267623,-1.570796,-0.222284
4791.341346,sim,1.270775,-0.216430,-2.623401,1.267648,-1.570800,-0.222279
4791.345330,sim,1.270774,-0.216414,-2.623406,1.267624,-1.570796,-0.222284
4791.349353,sim,1.270774,-0.216428,-2.623402,1.267646,-1.570800,-0.222279
4791.353409,sim,1.270774,-0.216414,-2.623406,1.267624,-1.570796,-0.222284
4791.357489,sim,1.270774,-0.216430,-2.623402,1.267646,-1.570799,-0.222279
4791.361334,sim,1.270774,-0.216413,-2.623406,1.267624,-1.570796,-0.222284
4791.365363,sim,1.270774,-0.216428,-2.623402,1.267646,-1.570800,-0.222279
4791.369403,sim,1.270774,-0.216412,-2.623407,1.267621,-1.570796,-0.222284
4791.373389,sim,1.270774,-0.216428,-2.623402,1.267645,-1.570799,-0.222279
4791.377494,sim,1.270774,-0.216412,-2.623407,1.267622,-1.570796,-0.222284
4791.381341,sim,1.270774,-0.216429,-2.623402,1.267645,-1.570799,-0.222279
4791.385384,sim,1.270774,-0.216412,-2.623406,1.267623,-1.570796,-0.222284
4791.389396,sim,1.270774,-0.216427,-2.623402,1.267645,-1.570800,-0.222279
4791.393434,sim,1.270774,-0.216413,-2.623406,1.267623,-1.570796,-0.222284
4791.397370,sim,1.270774,-0.216429,-2.623402,1.267646,-1.570799,-0.222279
4791.401351,sim,1.270774,-0.216413,-2.623406,1.267623,-1.570796,-0.222284
4791.405332,sim,1.270774,-0.216429,-2.623402,1.267646,-1.570799,-0.222279
4791.409336,sim,1.270774,-0.216413,-2.623406,1.267623,-1.570796,-0.222284
4791.413310,sim,1.270774,-0.216429,-2.623402,1.267646,-1.570799,-0.222279
4791.417498,sim,1.270774,-0.216412,-2.623406,1.267623,-1.570796,-0.222284
4791.421337,sim,1.270774,-0.216427,-2.623402,1.267645,-1.570800,-0.222279
4791.425301,sim,1.270774,-0.216413,-2.623406,1.267623,-1.570796,-0.222284
4791.429323,sim,1.270774,-0.216429,-2.623402,1.267646,-1.570799,-0.222279
4791.433426,sim,1.270774,-0.216413,-2.623406,1.267623,-1.570796,-0.222284
4791.437458,sim,1.270774,-0.216428,-2.623402,1.267645,-1.570800,-0.222279
4791.441276,sim,1.270775,-0.216414,-2.623405,1.267626,-1.570796,-0.222283
4791.445338,sim,1.270774,-0.216431,-2.623401,1.267647,-1.570799,-0.222280
4791.449338,sim,1.270774,-0.216414,-2.623406,1.267624,-1.570796,-0.222284
4791.453359,sim,1.270774,-0.216430,-2.623402,1.267646,-1.570799,-0.222279
4791.457356,sim,1.270774,-0.216413,-2.623406,1.267624,-1.570796,-0.222284
4791.461390,sim,1.270774,-0.216428,-2.623402,1.267646,-1.570800,-0.222279
4791.465430,sim,1.270774,-0.216412,-2.623407,1.267621,-1.570796,-0.222284
4791.469342,sim,1.270774,-0.216428,-2.623402,1.267645,-1.570799,-0.222279
4791.473374,sim,1.270774,-0.216412,-2.623407,1.267623,-1.570796,-0.222284
4791.477817,sim,1.270774,-0.216429,-2.623402,1.267645,-1.570799,-0.222279
4791.481359,sim,1.270774,-0.216412,-2.623406,1.267623,-1.570796,-0.222284
4791.485350,sim,1.270774,-0.216427,-2.623402,1.267645,-1.570800,-0.222279
4791.489547,sim,1.270774,-0.216413,-2.623406,1.267623,-1.570796,-0.222284
4791.493353,sim,1.270774,-0.216428,-2.623402,1.267645,-1.570800,-0.222279
4791.497503,sim,1.270774,-0.216413,-2.623406,1.267623,-1.570796,-0.222284
