t_rel_s,sim_joint5_deg,real_joint5_deg
0.0000,-90.0011,-90.0000
0.0040,-90.0013,-90.0000
0.0080,-90.0011,-90.0000
0.0120,-90.0013,-90.0000
0.0160,-90.0011,-90.0000
0.0200,-90.0012,-90.0000
0.0240,-90.0011,-90.0000
0.0280,-90.0014,-90.0000
0.0320,-90.0011,-90.0000
0.0360,-90.0013,-90.0000
0.0400,-90.0011,-90.0000
0.0440,-90.0013,-90.0000
0.0480,-90.0011,-90.0000
0.0520,-90.0014,-90.0000
0.0560,-90.0011,-90.0000
0.0600,-90.0013,-90.0000
0.0640,-90.0011,-90.0000
0.0680,-90.0013,-90.0000
0.0720,-90.0011,-90.0000
0.0760,-90.0012,-90.0000
0.0800,-90.0011,-90.0000
0.0840,-90.0013,-90.0000
0.0880,-90.0011,-90.0000
0.0920,-90.0013,-90.0000
0.0960,-90.0011,-90.0000
0.1000,-90.0012,-90.0000
0.1040,-90.0011,-90.0000
0.1080,-90.0013,-90.0000
0.1120,-90.0011,-90.0000
0.1160,-90.0013,-90.0000
0.1200,-90.0011,-90.0000
0.1240,-90.0013,-90.0000
0.1280,-90.0011,-90.0000
0.1320,-90.0013,-90.0000
0.1360,-90.0011,-90.0000
0.1400,-90.0013,-90.0000
0.1440,-90.0011,-90.0000
0.1480,-90.0013,-90.0000
0.1520,-90.0011,-90.0000
0.1560,-90.0013,-90.0000
0.1600,-90.0011,-90.0000
0.1640,-90.0013,-90.0000
0.1680,-90.0011,-90.0000
0.1720,-90.0012,-90.0000
0.1760,-90.0012,-90.0000
0.1800,-90.0013,-90.0000
0.1840,-90.0011,-90.0000
0.1880,-90.0013,-90.0000
0.1920,-90.0011,-90.0000
0.1960,-90.0012,-90.0000
0.2000,-90.0011,-90.0000
0.2040,-90.0013,-90.0000
0.2080,-90.0011,-90.0000
0.2120,-90.0013,-90.0000
0.2160,-90.0011,-90.0000
0.2200,-90.0012,-90.0000
0.2240,-90.0011,-90.0000
0.2280,-90.0013,-90.0000
0.2320,-90.0011,-90.0000
0.2360,-90.0013,-90.0000
0.2400,-90.0011,-90.0000
0.2440,-90.0013,-90.0000
0.2480,-90.0011,-90.0000
0.2520,-90.0013,-90.0000
0.2560,-90.0011,-90.0000
0.2600,-90.0013,-90.0000
0.2640,-90.0011,-90.0000
0.2680,-90.0013,-90.0000
0.2720,-90.0011,-90.0000
0.2760,-90.0013,-90.0000
0.2800,-90.0011,-90.0000
0.2840,-90.0013,-90.0000
0.2880,-90.0011,-90.0000
0.2920,-90.0013,-90.0000
0.2960,-90.0011,-90.0000
0.3000,-90.0013,-90.0000
