t_mono_s,source,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad
5018.984575,sim,1.239184,-0.174524,-2.670474,1.274004,-1.605701,-0.296670
5018.984777,sim,1.239185,-0.174538,-2.670470,1.274028,-1.605706,-0.296664
5018.984938,sim,1.239186,-0.174523,-2.670473,1.274008,-1.605702,-0.296668
5018.985093,sim,1.239185,-0.174543,-2.670468,1.274035,-1.605706,-0.296663
5018.985265,sim,1.239185,-0.174529,-2.670472,1.274011,-1.605701,-0.296669
5018.985423,sim,1.239185,-0.174546,-2.670468,1.274034,-1.605705,-0.296664
5018.985555,sim,1.239184,-0.174524,-2.670474,1.274004,-1.605701,-0.296669
5018.985698,sim,1.239185,-0.174541,-2.670469,1.274032,-1.605706,-0.296663
5018.985841,sim,1.239184,-0.174526,-2.670473,1.274007,-1.605701,-0.296669
5018.985980,sim,1.239184,-0.174538,-2.670470,1.274026,-1.605705,-0.296664
5018.986132,sim,1.239185,-0.174520,-2.670474,1.274004,-1.605702,-0.296668
5018.986278,sim,1.239186,-0.174541,-2.670469,1.274033,-1.605706,-0.296663
5018.986412,sim,1.239184,-0.174528,-2.670473,1.274007,-1.605700,-0.296670
5018.986540,sim,1.239185,-0.174544,-2.670468,1.274035,-1.605706,-0.296663
5018.986663,sim,1.239185,-0.174526,-2.670472,1.274010,-1.605702,-0.296668
5018.986786,sim,1.239185,-0.174545,-2.670468,1.274033,-1.605705,-0.296664
5018.986908,sim,1.239185,-0.174525,-2.670473,1.274008,-1.605701,-0.296669
5018.987040,sim,1.239186,-0.174537,-2.670469,1.274030,-1.605707,-0.296663
5018.987227,sim,1.239185,-0.174524,-2.670473,1.274006,-1.605701,-0.296669
5018.987461,sim,1.239185,-0.174543,-2.670469,1.274032,-1.605705,-0.296664
5018.987646,sim,1.239184,-0.174527,-2.670473,1.274007,-1.605701,-0.296670
5018.987837,sim,1.239185,-0.174541,-2.670469,1.274029,-1.605705,-0.296665
5018.987965,sim,1.239184,-0.174524,-2.670474,1.274006,-1.605701,-0.296669
5018.988096,sim,1.239185,-0.174538,-2.670470,1.274028,-1.605706,-0.296664
5018.988279,sim,1.239185,-0.174522,-2.670474,1.274004,-1.605702,-0.296669
5018.988464,sim,1.239185,-0.174540,-2.670469,1.274030,-1.605706,-0.296663
5018.988608,sim,1.239185,-0.174528,-2.670472,1.274011,-1.605702,-0.296668
5018.988745,sim,1.239185,-0.174546,-2.670468,1.274033,-1.605705,-0.296664
5018.988882,sim,1.239185,-0.174525,-2.670473,1.274004,-1.605700,-0.296670
5018.989049,sim,1.239185,-0.174539,-2.670469,1.274029,-1.605705,-0.296664
5018.989230,sim,1.239185,-0.174522,-2.670474,1.274005,-1.605702,-0.296668
5018.989363,sim,1.239185,-0.174543,-2.670468,1.274034,-1.605706,-0.296663
5018.989501,sim,1.239184,-0.174526,-2.670473,1.274006,-1.605701,-0.296669
5018.989625,sim,1.239185,-0.174544,-2.670468,1.274033,-1.605705,-0.296664
5018.989747,sim,1.239184,-0.174524,-2.670474,1.274006,-1.605701,-0.296669
5018.989876,sim,1.239186,-0.174539,-2.670469,1.274029,-1.605706,-0.296663
5018.990031,sim,1.239185,-0.174522,-2.670473,1.274007,-1.605702,-0.296667
5018.990261,sim,1.239186,-0.174544,-2.670468,1.274036,-1.605706,-0.296663
5018.990602,sim,1.239184,-0.174528,-2.670472,1.274010,-1.605701,-0.296669
5018.990773,sim,1.239185,-0.174542,-2.670469,1.274032,-1.605706,-0.296664
5018.990936,sim,1.239185,-0.174526,-2.670473,1.274007,-1.605701,-0.296669
5018.991086,sim,1.239185,-0.174546,-2.670468,1.274033,-1.605705,-0.296664
5018.991235,sim,1.239185,-0.174527,-2.670472,1.274010,-1.605702,-0.296668
5018.991372,sim,1.239184,-0.174541,-2.670469,1.274030,-1.605706,-0.296664
5018.991513,sim,1.239184,-0.174524,-2.670474,1.274004,-1.605701,-0.296670
5018.991653,sim,1.239185,-0.174538,-2.670470,1.274027,-1.605706,-0.296664
5018.991812,sim,1.239185,-0.174521,-2.670474,1.274006,-1.605702,-0.296668
5018.991973,sim,1.239185,-0.174542,-2.670469,1.274032,-1.605706,-0.296664
5018.992136,sim,1.239184,-0.174527,-2.670473,1.274006,-1.605700,-0.296670
5018.992449,sim,1.239185,-0.174545,-2.670468,1.274032,-1.605705,-0.296665
5018.992597,sim,1.239185,-0.174526,-2.670472,1.274010,-1.605702,-0.296668
5018.992745,sim,1.239185,-0.174540,-2.670469,1.274030,-1.605705,-0.296664
5018.992896,sim,1.239185,-0.174522,-2.670473,1.274008,-1.605702,-0.296667
5018.993064,sim,1.239185,-0.174542,-2.670468,1.274033,-1.605706,-0.296663
5018.993199,sim,1.239185,-0.174529,-2.670472,1.274011,-1.605701,-0.296669
5018.993330,sim,1.239185,-0.174547,-2.670468,1.274034,-1.605705,-0.296665
5018.993471,sim,1.239184,-0.174524,-2.670474,1.274004,-1.605701,-0.296669
5018.993607,sim,1.239185,-0.174542,-2.670469,1.274031,-1.605705,-0.296664
5018.993737,sim,1.239184,-0.174522,-2.670474,1.274003,-1.605701,-0.296669
5018.993882,sim,1.239185,-0.174538,-2.670470,1.274028,-1.605706,-0.296663
5018.994056,sim,1.239186,-0.174522,-2.670473,1.274007,-1.605702,-0.296668
5018.994220,sim,1.239186,-0.174531,-2.670470,1.274030,-1.605709,-0.296660
5018.994367,sim,1.239185,-0.174528,-2.670473,1.274009,-1.605701,-0.296669
5018.994594,sim,1.239185,-0.174546,-2.670468,1.274033,-1.605705,-0.296664
5018.994735,sim,1.239184,-0.174529,-2.670473,1.274006,-1.605699,-0.296671
5018.994869,sim,1.239185,-0.174546,-2.670468,1.274035,-1.605705,-0.296664
5018.995014,sim,1.239183,-0.174523,-2.670475,1.274000,-1.605700,-0.296671
5018.995171,sim,1.239185,-0.174543,-2.670468,1.274034,-1.605706,-0.296663
5018.995315,sim,1.239185,-0.174526,-2.670472,1.274009,-1.605702,-0.296668
5018.995461,sim,1.239185,-0.174540,-2.670469,1.274030,-1.605705,-0.296664
5018.995597,sim,1.239185,-0.174520,-2.670475,1.274002,-1.605701,-0.296669
5018.995734,sim,1.239186,-0.174544,-2.670468,1.274037,-1.605707,-0.296662
5018.995867,sim,1.239184,-0.174528,-2.670473,1.274005,-1.605700,-0.296671
5018.995998,sim,1.239185,-0.174545,-2.670468,1.274035,-1.605706,-0.296663
5018.996138,sim,1.239184,-0.174524,-2.670473,1.274006,-1.605701,-0.296669
5018.996280,sim,1.239185,-0.174544,-2.670468,1.274033,-1.605705,-0.296664
5018.996417,sim,1.239184,-0.174525,-2.670473,1.274007,-1.605701,-0.296669
5018.996549,sim,1.239185,-0.174539,-2.670469,1.274029,-1.605706,-0.296664
5018.996688,sim,1.239185,-0.174522,-2.670473,1.274007,-1.605703,-0.296667
5018.996825,sim,1.239185,-0.174541,-2.670469,1.274032,-1.605706,-0.296663
5018.996961,sim,1.239185,-0.174528,-2.670472,1.274010,-1.605701,-0.296669
5018.997100,sim,1.239185,-0.174543,-2.670468,1.274034,-1.605706,-0.296663
5018.997228,sim,1.239184,-0.174525,-2.670473,1.274005,-1.605700,-0.296670
5018.997355,sim,1.239185,-0.174539,-2.670469,1.274029,-1.605706,-0.296664
5018.997484,sim,1.239186,-0.174523,-2.670473,1.274008,-1.605702,-0.296668
5018.997624,sim,1.239185,-0.174543,-2.670468,1.274032,-1.605705,-0.296664
5018.997767,sim,1.239184,-0.174528,-2.670473,1.274009,-1.605701,-0.296669
5018.997895,sim,1.239185,-0.174545,-2.670468,1.274033,-1.605705,-0.296664
5018.998032,sim,1.239185,-0.174526,-2.670473,1.274008,-1.605701,-0.296669
5018.998276,sim,1.239185,-0.174541,-2.670469,1.274032,-1.605706,-0.296663
5018.998415,sim,1.239183,-0.174521,-2.670475,1.273997,-1.605699,-0.296671
5018.998548,sim,1.239185,-0.174537,-2.670470,1.274026,-1.605706,-0.296664
5018.998709,sim,1.239186,-0.174523,-2.670473,1.274009,-1.605703,-0.296667
5018.998853,sim,1.239185,-0.174543,-2.670468,1.274034,-1.605706,-0.296663
5018.998981,sim,1.239184,-0.174529,-2.670472,1.274008,-1.605701,-0.296670
5018.999129,sim,1.239185,-0.174545,-2.670468,1.274033,-1.605705,-0.296664
5018.999270,sim,1.239185,-0.174525,-2.670473,1.274007,-1.605701,-0.296669
5018.999416,sim,1.239185,-0.174541,-2.670469,1.274032,-1.605706,-0.296663
5018.999643,sim,1.239184,-0.174525,-2.670473,1.274006,-1.605701,-0.296669
5018.999783,sim,1.239186,-0.174541,-2.670468,1.274033,-1.605706,-0.296663
5018.999922,sim,1.239185,-0.174522,-2.670474,1.274006,-1.605702,-0.296668
5019.000086,sim,1.239185,-0.174541,-2.670469,1.274031,-1.605706,-0.296664
5019.000223,sim,1.239184,-0.174527,-2.670473,1.274007,-1.605701,-0.296669
5019.000355,sim,1.239184,-0.174543,-2.670469,1.274030,-1.605705,-0.296665
5019.003330,sim,1.239185,-0.174524,-2.670473,1.274007,-1.605702,-0.296668
5019.007339,sim,1.239185,-0.174544,-2.670469,1.274030,-1.605705,-0.296665
5019.011487,sim,1.239184,-0.174523,-2.670474,1.274004,-1.605701,-0.296669
5019.015434,sim,1.239186,-0.174540,-2.670469,1.274032,-1.605706,-0.296663
5019.019321,sim,1.239186,-0.174524,-2.670473,1.274009,-1.605702,-0.296668
5019.023530,sim,1.239185,-0.174544,-2.670468,1.274033,-1.605705,-0.296664
5019.027411,sim,1.239184,-0.174527,-2.670473,1.274007,-1.605701,-0.296669
5019.031417,sim,1.239185,-0.174540,-2.670469,1.274032,-1.605706,-0.296663
5019.035342,sim,1.239184,-0.174525,-2.670474,1.274005,-1.605700,-0.296670
5019.039377,sim,1.239185,-0.174539,-2.670470,1.274028,-1.605705,-0.296664
5019.043534,sim,1.239185,-0.174521,-2.670474,1.274004,-1.605702,-0.296668
