t_rel_s,sim_joint6_deg,real_joint6_deg
0.7360,28.3810,28.3814
0.7400,28.3810,28.3814
0.7440,28.3811,28.3814
0.7480,28.3811,28.3814
0.7520,28.3812,28.3814
0.7560,28.3811,28.3814
0.7600,28.3812,28.3814
0.7640,28.3812,28.3814
0.7680,28.3813,28.3814
0.7720,28.3813,28.3814
0.7760,28.3814,28.3813
0.7800,28.3813,28.3813
0.7840,28.3813,28.3813
0.7880,28.3812,28.3813
0.7920,28.3814,28.3813
0.7960,28.3814,28.3813
0.8000,28.3815,28.3813
0.8040,28.3813,28.3813
0.8080,28.3814,28.3813
0.8120,28.3813,28.3813
0.8160,28.3814,28.3813
0.8200,28.3813,28.3813
0.8240,28.3814,28.3812
0.8280,28.3813,28.3812
0.8320,28.3814,28.3812
0.8360,28.3813,28.3812
0.8400,28.3814,28.3812
0.8440,28.3813,28.3812
0.8480,28.3814,28.3812
0.8520,28.3813,28.3811
0.8560,28.3814,28.3811
0.8600,28.3813,28.3811
0.8640,28.3813,28.3811
0.8680,28.3812,28.3811
0.8720,28.3814,28.3811
0.8760,28.3813,28.3810
0.8800,28.3813,28.3810
0.8840,28.3812,28.3810
0.8880,28.3813,28.3810
0.8920,28.3812,28.3810
0.8960,28.3813,28.3810
0.9000,28.3811,28.3810
0.9040,28.3813,28.3809
0.9080,28.3812,28.3809
0.9120,28.3812,28.3809
0.9160,28.3811,28.3809
0.9200,28.3812,28.3809
0.9240,28.3812,28.3809
0.9280,28.3810,28.3809
0.9320,28.3812,28.3809
0.9360,28.3810,28.3809
0.9400,28.3811,28.3809
0.9440,28.3810,28.3809
0.9480,28.3811,28.3809
0.9520,28.3810,28.3809
0.9560,28.3811,28.3809
0.9600,28.3809,28.3809
0.9640,28.3811,28.3809
0.9680,28.3809,28.3809
0.9720,28.3810,28.3809
0.9760,28.3809,28.3809
0.9800,28.3810,28.3808
0.9840,28.3808,28.3809
0.9880,28.3809,28.3809
0.9920,28.3809,28.3809
0.9960,28.3810,28.3808
1.0000,28.3809,28.3808
1.0040,28.3810,28.3808
1.0080,28.3808,28.3808
1.0120,28.3809,28.3808
1.0160,28.3808,28.3808
1.0200,28.3809,28.3808
1.0240,28.3808,28.3808
1.0280,28.3809,28.3808
1.0320,28.3808,28.3808
1.0360,28.3809,28.3808
1.0400,28.3808,28.3808
1.0440,28.3809,28.3808
1.0480,28.3808,28.3807
1.0520,28.3810,28.3807
1.0560,28.3809,28.3807
1.0600,28.3809,28.3807
1.0640,28.3808,28.3807
1.0680,28.3808,28.3807
1.0720,28.3808,28.3807
1.0760,28.3807,28.3807
1.0800,28.3809,28.3807
1.0840,28.3808,28.3806
1.0880,28.3808,28.3806
1.0920,28.3808,28.3806
1.0960,28.3808,28.3806
1.1000,28.3807,28.3806
1.1040,28.3807,28.3806
1.1080,28.3808,28.3806
1.1120,28.3807,28.3806
1.1160,28.3808,28.3806
1.1200,28.3807,28.3806
1.1240,28.3808,28.3806
1.1280,28.3808,28.3806
1.1320,28.3806,28.3806
1.1360,28.3807,28.3806
1.1400,28.3806,28.3806
1.1440,28.3808,28.3806
1.1480,28.3808,28.3806
1.1520,28.3806,28.3806
1.1560,28.3807,28.3806
1.1600,28.3806,28.3806
1.1640,28.3807,28.3806
1.1680,28.3807,28.3806
1.1720,28.3806,28.3806
1.1760,28.3807,28.3806
1.1800,28.3806,28.3806
1.1840,28.3807,28.3806
1.1880,28.3807,28.3806
1.1920,28.3805,28.3806
1.1960,28.3806,28.3806
1.2000,28.3806,28.3806
1.2040,28.3805,28.3806
1.2080,28.3807,28.3806
1.2120,28.3805,28.3806
1.2160,28.3806,28.3806
1.2200,28.3806,28.3806
1.2240,28.3805,28.3806
1.2280,28.3806,28.3806
1.2320,28.3806,28.3806
1.2360,28.3807,28.3806
1.2400,28.3806,28.3806
1.2440,28.3807,28.3806
1.2480,28.3807,28.3806
1.2520,28.3806,28.3806
1.2560,28.3805,28.3806
1.2600,28.3805,28.3806
1.2640,28.3806,28.3806
1.2680,28.3806,28.3806
1.2720,28.3806,28.3806
1.2760,28.3806,28.3806
1.2800,28.3805,28.3806
1.2840,28.3807,28.3806
1.2880,28.3805,28.3806
1.2920,28.3806,28.3806
1.2960,28.3806,28.3806
1.3000,28.3806,28.3806
1.3040,28.3807,28.3806
1.3080,28.3807,28.3806
1.3120,28.3805,28.3806
1.3160,28.3806,28.3806
1.3200,28.3806,28.3806
1.3240,28.3806,28.3806
1.3280,28.3806,28.3806
1.3320,28.3807,28.3806
1.3360,28.3807,28.3806
1.3400,28.3805,28.3806
1.3440,28.3806,28.3806
1.3480,28.3806,28.3806
1.3520,28.3807,28.3806
1.3560,28.3807,28.3807
1.3600,28.3805,28.3807
1.3640,28.3806,28.3806
1.3680,28.3807,28.3806
1.3720,28.3805,28.3807
1.3760,28.3806,28.3807
1.3800,28.3807,28.3807
1.3840,28.3806,28.3807
1.3880,28.3807,28.3807
1.3920,28.3806,28.3807
1.3960,28.3807,28.3807
1.4000,28.3807,28.3807
1.4040,28.3806,28.3807
1.4080,28.3807,28.3807
1.4120,28.3806,28.3807
1.4160,28.3807,28.3807
1.4200,28.3807,28.3807
1.4240,28.3806,28.3807
1.4280,28.3807,28.3807
1.4320,28.3806,28.3807
1.4360,28.3807,28.3807
1.4400,28.3807,28.3807
1.4440,28.3806,28.3807
1.4480,28.3807,28.3807
1.4520,28.3807,28.3807
1.4560,28.3806,28.3807
1.4600,28.3807,28.3807
1.4640,28.3807,28.3807
1.4680,28.3806,28.3807
1.4720,28.3807,28.3807
1.4760,28.3807,28.3807
1.4800,28.3805,28.3807
1.4840,28.3807,28.3807
1.4880,28.3807,28.3807
1.4920,28.3806,28.3807
1.4960,28.3807,28.3807
1.5000,28.3807,28.3807
1.5040,28.3806,28.3807
1.5080,28.3807,28.3807
1.5120,28.3807,28.3807
1.5160,28.3806,28.3807
1.5200,28.3807,28.3807
1.5240,28.3807,28.3807
1.5280,28.3805,28.3807
1.5320,28.3807,28.3807
1.5360,28.3807,28.3807
1.5400,28.3806,28.3807
1.5440,28.3807,28.3807
1.5480,28.3807,28.3807
1.5520,28.3806,28.3807
1.5560,28.3807,28.3807
1.5600,28.3808,28.3807
1.5640,28.3806,28.3807
1.5680,28.3807,28.3807
1.5720,28.3808,28.3807
1.5760,28.3806,28.3807
1.5800,28.3807,28.3807
1.5840,28.3807,28.3807
1.5880,28.3805,28.3807
1.5920,28.3806,28.3807
1.5960,28.3807,28.3807
1.6000,28.3806,28.3807
1.6040,28.3807,28.3807
1.6080,28.3807,28.3807
1.6120,28.3806,28.3807
1.6160,28.3807,28.3807
1.6200,28.3807,28.3807
1.6240,28.3805,28.3807
1.6280,28.3806,28.3807
1.6320,28.3807,28.3807
1.6360,28.3806,28.3807
1.6400,28.3807,28.3807
1.6440,28.3808,28.3807
1.6480,28.3806,28.3807
1.6520,28.3807,28.3807
1.6560,28.3808,28.3807
1.6600,28.3806,28.3807
1.6640,28.3807,28.3807
1.6680,28.3807,28.3807
1.6720,28.3806,28.3807
1.6760,28.3807,28.3807
1.6800,28.3807,28.3807
1.6840,28.3806,28.3807
1.6880,28.3807,28.3807
1.6920,28.3807,28.3807
1.6960,28.3805,28.3807
1.7000,28.3807,28.3807
1.7040,28.3807,28.3807
1.7080,28.3806,28.3807
