t_rel_s,sim_joint5_deg,real_joint5_deg
0.0000,-89.9929,-90.0001
0.0040,-89.9927,-90.0001
0.0080,-89.9929,-90.0001
0.0120,-89.9929,-90.0001
0.0160,-89.9927,-90.0001
0.0200,-89.9929,-90.0001
0.0240,-89.9928,-90.0001
0.0280,-89.9929,-90.0001
0.0320,-89.9928,-90.0001
0.0360,-89.9929,-90.0001
0.0400,-89.9928,-90.0001
0.0440,-89.9929,-90.0001
0.0480,-89.9928,-90.0001
0.0520,-89.9929,-90.0001
0.0560,-89.9927,-90.0001
0.0600,-89.9929,-90.0001
0.0640,-89.9927,-90.0001
0.0680,-89.9929,-90.0001
0.0720,-89.9928,-90.0001
0.0760,-89.9928,-90.0001
0.0800,-89.9927,-90.0001
0.0840,-89.9929,-90.0001
0.0880,-89.9927,-90.0001
0.0920,-89.9929,-90.0001
0.0960,-89.9927,-90.0001
0.1000,-89.9929,-90.0001
0.1040,-89.9928,-90.0001
0.1080,-89.9929,-90.0001
0.1120,-89.9928,-90.0001
0.1160,-89.9929,-90.0001
0.1200,-89.9928,-90.0001
0.1240,-89.9929,-90.0001
0.1280,-89.9927,-90.0001
0.1320,-89.9929,-90.0001
0.1360,-89.9927,-90.0001
0.1400,-89.9929,-90.0001
0.1440,-89.9927,-90.0001
0.1480,-89.9929,-90.0001
0.1520,-89.9928,-90.0001
0.1560,-89.9929,-90.0001
0.1600,-89.9927,-90.0001
0.1640,-89.9929,-90.0001
0.1680,-89.9927,-90.0001
0.1720,-89.9929,-90.0001
0.1760,-89.9927,-90.0001
0.1800,-89.9929,-90.0001
0.1840,-89.9927,-90.0001
0.1880,-89.9929,-90.0001
0.1920,-89.9928,-90.0001
0.1960,-89.9929,-90.0001
0.2000,-89.9927,-90.0001
0.2040,-89.9929,-90.0001
0.2080,-89.9928,-90.0001
0.2120,-89.9929,-90.0001
0.2160,-89.9928,-90.0001
0.2200,-89.9929,-90.0001
0.2240,-89.9928,-90.0001
0.2280,-89.9929,-90.0001
0.2320,-89.9928,-90.0001
0.2360,-89.9929,-90.0001
0.2400,-89.9928,-90.0001
0.2440,-89.9929,-90.0001
0.2480,-89.9928,-90.0001
0.2520,-89.9929,-90.0001
0.2560,-89.9927,-90.0001
0.2600,-89.9929,-90.0001
0.2640,-89.9927,-90.0001
0.2680,-89.9929,-90.0001
0.2720,-89.9928,-90.0001
0.2760,-89.9929,-90.0001
0.2800,-89.9928,-90.0001
0.2840,-89.9929,-90.0001
0.2880,-89.9927,-90.0001
0.2920,-89.9929,-90.0001
0.2960,-89.9927,-90.0001
0.3000,-89.9929,-90.0001
0.3040,-89.9927,-90.0001
0.3080,-89.9929,-90.0001
0.3120,-89.9927,-90.0001
0.3160,-89.9929,-90.0001
0.3200,-89.9927,-90.0001
0.3240,-89.9929,-90.0001
0.3280,-89.9928,-90.0001
0.3320,-89.9929,-90.0001
0.3360,-89.9928,-90.0001
0.3400,-89.9929,-90.0001
