t_mono_s,source,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad
4581.959451,sim,1.270773,-0.216433,-2.623358,1.267664,-1.570673,-0.222305
4581.959747,sim,1.270772,-0.216417,-2.623363,1.267638,-1.570668,-0.222311
4581.959964,sim,1.270773,-0.216435,-2.623357,1.267664,-1.570672,-0.222306
4581.960189,sim,1.270772,-0.216417,-2.623362,1.267643,-1.570670,-0.222308
4581.960346,sim,1.270773,-0.216433,-2.623358,1.267664,-1.570673,-0.222305
4581.960491,sim,1.270773,-0.216419,-2.623361,1.267644,-1.570670,-0.222309
4581.960633,sim,1.270773,-0.216436,-2.623357,1.267663,-1.570672,-0.222306
4581.960772,sim,1.270773,-0.216420,-2.623361,1.267642,-1.570669,-0.222310
4581.960909,sim,1.270772,-0.216432,-2.623358,1.267664,-1.570673,-0.222304
4581.961046,sim,1.270773,-0.216417,-2.623362,1.267642,-1.570670,-0.222309
4581.961179,sim,1.270773,-0.216434,-2.623357,1.267664,-1.570673,-0.222305
4581.961307,sim,1.270773,-0.216420,-2.623361,1.267644,-1.570670,-0.222309
4581.961438,sim,1.270772,-0.216433,-2.623358,1.267662,-1.570672,-0.222306
4581.961571,sim,1.270772,-0.216416,-2.623363,1.267639,-1.570669,-0.222310
4581.961697,sim,1.270772,-0.216431,-2.623358,1.267662,-1.570673,-0.222305
4581.961822,sim,1.270773,-0.216417,-2.623362,1.267641,-1.570669,-0.222309
4581.961946,sim,1.270773,-0.216436,-2.623357,1.267666,-1.570673,-0.222305
4581.962083,sim,1.270772,-0.216417,-2.623362,1.267639,-1.570669,-0.222310
4581.962211,sim,1.270773,-0.216432,-2.623358,1.267663,-1.570673,-0.222305
4581.962336,sim,1.270772,-0.216416,-2.623362,1.267640,-1.570670,-0.222309
4581.962459,sim,1.270773,-0.216433,-2.623358,1.267664,-1.570673,-0.222305
4581.962584,sim,1.270772,-0.216417,-2.623362,1.267640,-1.570669,-0.222309
4581.962728,sim,1.270773,-0.216435,-2.623357,1.267664,-1.570673,-0.222305
4581.962853,sim,1.270772,-0.216419,-2.623362,1.267639,-1.570668,-0.222311
4581.962982,sim,1.270774,-0.216435,-2.623356,1.267668,-1.570674,-0.222304
4581.963121,sim,1.270773,-0.216420,-2.623361,1.267644,-1.570669,-0.222309
4581.963272,sim,1.270773,-0.216436,-2.623357,1.267666,-1.570673,-0.222305
4581.963417,sim,1.270773,-0.216421,-2.623361,1.267644,-1.570669,-0.222310
4581.963544,sim,1.270773,-0.216437,-2.623357,1.267663,-1.570671,-0.222307
4581.963803,sim,1.270772,-0.216423,-2.623361,1.267643,-1.570668,-0.222311
4581.963977,sim,1.270772,-0.216437,-2.623356,1.267667,-1.570673,-0.222305
4581.964165,sim,1.270772,-0.216420,-2.623362,1.267640,-1.570668,-0.222311
