t_rel_s,sim_joint5_deg,real_joint5_deg
0.0000,-92.0000,-92.0000
0.0040,-92.0001,-92.0000
0.0080,-92.0001,-92.0000
0.0120,-92.0000,-92.0000
0.0160,-92.0001,-92.0000
0.0200,-92.0000,-92.0000
0.0240,-92.0001,-92.0000
0.0280,-92.0000,-92.0000
0.0320,-92.0001,-92.0000
0.0360,-92.0000,-92.0000
0.0400,-92.0001,-92.0000
0.0440,-91.9999,-92.0000
0.0480,-92.0001,-92.0000
0.0520,-92.0000,-92.0000
0.0560,-92.0001,-92.0000
0.0600,-91.9999,-92.0000
0.0640,-92.0001,-92.0000
0.0680,-91.9999,-92.0000
0.0720,-92.0001,-92.0000
0.0760,-92.0000,-92.0000
0.0800,-92.0001,-92.0000
0.0840,-92.0000,-92.0000
0.0880,-92.0001,-92.0000
0.0920,-91.9999,-92.0000
0.0960,-92.0002,-92.0000
0.1000,-92.0000,-92.0000
0.1040,-92.0001,-92.0000
0.1080,-92.0000,-92.0000
0.1120,-92.0001,-92.0000
0.1160,-91.9999,-92.0000
0.1200,-92.0001,-92.0000
0.1240,-92.0000,-92.0000
0.1280,-92.0001,-92.0000
0.1320,-91.9999,-92.0000
0.1360,-92.0001,-92.0000
0.1400,-92.0000,-92.0000
0.1440,-92.0001,-92.0000
0.1480,-92.0000,-92.0000
0.1520,-92.0001,-92.0000
0.1560,-92.0000,-92.0000
0.1600,-92.0001,-92.0000
0.1640,-92.0000,-92.0000
0.1680,-92.0002,-92.0000
0.1720,-92.0000,-92.0000
0.1760,-92.0001,-92.0000
0.1800,-92.0000,-92.0000
0.1840,-92.0000,-92.0000
0.1880,-91.9999,-92.0000
0.1920,-92.0001,-92.0000
0.1960,-92.0000,-92.0000
0.2000,-92.0001,-92.0000
0.2040,-92.0000,-92.0000
0.2080,-92.0001,-92.0000
0.2120,-92.0000,-92.0000
0.2160,-92.0002,-92.0000
0.2200,-91.9999,-92.0000
0.2240,-92.0000,-92.0000
0.2280,-91.9999,-92.0000
0.2320,-92.0001,-92.0000
0.2360,-91.9999,-92.0000
0.2400,-92.0001,-92.0000
0.2440,-91.9999,-92.0000
0.2480,-92.0001,-92.0000
0.2520,-92.0000,-92.0000
0.2560,-92.0001,-92.0000
0.2600,-92.0000,-92.0000
0.2640,-92.0000,-92.0000
0.2680,-92.0000,-92.0000
0.2720,-92.0002,-92.0000
0.2760,-92.0000,-92.0000
0.2800,-92.0001,-92.0000
0.2840,-92.0000,-92.0000
0.2880,-92.0001,-92.0000
0.2920,-91.9999,-92.0000
0.2960,-92.0001,-92.0000
0.3000,-92.0001,-92.0000
0.3040,-92.0001,-92.0000
0.3080,-92.0000,-92.0000
0.3120,-92.0001,-92.0000
0.3160,-91.9999,-92.0000
0.3200,-92.0001,-92.0000
0.3240,-92.0000,-92.0000
0.3280,-92.0001,-92.0000
0.3320,-91.9999,-92.0000
0.3360,-92.0001,-92.0000
0.3400,-92.0000,-92.0000
0.3440,-92.0001,-92.0000
0.3480,-91.9999,-92.0000
0.3520,-92.0001,-92.0000
0.3560,-92.0000,-92.0000
0.3600,-92.0001,-92.0000
0.3640,-92.0000,-92.0000
0.3680,-92.0001,-92.0000
0.3720,-91.9999,-92.0000
0.3760,-92.0001,-92.0000
0.3800,-92.0000,-92.0000
0.3840,-92.0001,-92.0000
0.3880,-92.0000,-92.0000
0.3920,-92.0001,-92.0000
0.3960,-92.0000,-92.0000
0.4000,-92.0001,-92.0000
0.4040,-92.0000,-92.0000
0.4080,-92.0001,-92.0000
0.4120,-91.9999,-92.0000
0.4160,-92.0001,-92.0000
0.4200,-92.0000,-92.0000
0.4240,-92.0001,-92.0000
0.4280,-92.0000,-92.0000
0.4320,-92.0001,-92.0000
0.4360,-91.9999,-92.0000
0.4400,-92.0001,-92.0000
0.4440,-92.0000,-92.0000
0.4480,-92.0001,-92.0000
0.4520,-91.9999,-92.0000
0.4560,-92.0002,-92.0000
0.4600,-92.0000,-92.0000
0.4640,-92.0001,-92.0000
0.4680,-92.0000,-92.0000
0.4720,-92.0001,-92.0000
0.4760,-92.0000,-92.0000
0.4800,-92.0002,-92.0000
0.4840,-91.9999,-92.0000
0.4880,-92.0000,-92.0000
0.4920,-91.9999,-92.0000
0.4960,-92.0001,-92.0000
0.5000,-92.0000,-92.0000
0.5040,-92.0001,-92.0000
0.5080,-91.9999,-92.0000
0.5120,-92.0001,-92.0000
0.5160,-92.0000,-92.0000
0.5200,-92.0001,-92.0000
0.5240,-92.0000,-92.0000
0.5280,-92.0001,-92.0000
0.5320,-92.0000,-92.0000
0.5360,-92.0001,-92.0000
0.5400,-92.0000,-92.0000
0.5440,-92.0001,-92.0000
0.5480,-92.0000,-92.0000
0.5520,-92.0001,-92.0000
0.5560,-92.0000,-92.0000
0.5600,-92.0001,-92.0000
0.5640,-91.9999,-92.0000
0.5680,-92.0001,-92.0000
0.5720,-92.0000,-92.0000
0.5760,-92.0001,-92.0000
0.5800,-92.0000,-92.0000
0.5840,-92.0001,-92.0000
0.5880,-92.0000,-92.0000
0.5920,-92.0001,-92.0000
0.5960,-91.9999,-92.0000
0.6000,-92.0000,-92.0000
0.6040,-92.0000,-92.0000
0.6080,-92.0001,-92.0000
0.6120,-92.0000,-92.0000
0.6160,-92.0001,-92.0000
0.6200,-91.9999,-92.0000
0.6240,-92.0001,-92.0000
0.6280,-91.9999,-92.0000
0.6320,-92.0001,-92.0000
0.6360,-92.0000,-92.0000
0.6400,-92.0001,-92.0000
