t_mono_s,source,Thumb_rad,Index_rad,Middle_rad,Ring_rad,Little_rad,Rotate_rad
2384.079332,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.079811,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.080061,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.080226,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.080395,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.080550,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.080691,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.080907,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.081075,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.081278,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.081432,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.081592,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.081749,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.081916,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.082081,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.082245,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.082401,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.082554,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.082703,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.084107,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.087335,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.091158,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.095109,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.099112,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.103066,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.107014,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.110968,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.115094,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.119211,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.123027,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.126960,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.131010,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.134862,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.138937,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.142812,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.146813,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.150821,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.154753,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.158973,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.162847,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.166863,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.170726,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.174772,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.178800,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.182801,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.186687,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.190610,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.194785,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.198787,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.202598,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.206650,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.210606,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.214585,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.218674,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.222516,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.226569,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.230543,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.234479,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.238510,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.242475,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.246481,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.250472,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.254438,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.258624,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.262488,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.266632,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.270388,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.274485,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.278599,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.282392,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.286326,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.290293,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.294378,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.298342,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.302360,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.306371,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.310331,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.314228,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.318275,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.322214,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.326273,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.330283,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.334181,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.338273,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.342220,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.346155,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.350175,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.354167,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.358365,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.362053,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.366103,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2384.370118,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2384.374484,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
