t_mono_s,source,Thumb_rad,Index_rad,Middle_rad,Ring_rad,Little_rad,Rotate_rad
2473.417269,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2473.417900,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2473.418140,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2473.418336,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2473.418605,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2473.418769,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2473.418945,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2473.419119,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2473.419287,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2473.419482,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2473.419657,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2473.419868,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2473.420068,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2473.420252,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2473.420468,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2473.420652,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2473.420861,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2473.421060,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2473.421223,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2473.421394,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2473.421566,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2473.421754,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2473.422010,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2473.422159,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2473.422300,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2473.422510,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2473.422707,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2473.422854,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2473.422996,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2473.423142,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2473.423274,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2473.423424,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2473.423566,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2473.423721,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2473.423859,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2473.423992,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
2473.424149,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.008057
2473.424285,sim,0.079999,0.119999,0.119999,0.119999,0.119999,0.008054
