t_rel_s,sim_Index_deg,real_Index_deg
0.0000,57.2959,73.3113
0.0040,57.2954,73.3113
0.0080,57.2959,73.3113
0.0120,57.2954,73.3113
0.0160,57.2959,73.3113
0.0200,57.2954,73.3113
0.0240,57.2960,73.3113
0.0280,57.2954,73.3113
0.0320,57.2959,73.3113
0.0360,57.2953,73.3113
0.0400,57.2960,73.3113
0.0440,57.2954,73.3113
0.0480,57.2959,73.3113
0.0520,57.2954,73.3113
0.0560,57.2960,73.3113
0.0600,57.2954,73.3113
0.0640,57.2960,73.3113
0.0680,57.2954,73.3113
0.0720,57.2960,73.3113
0.0760,57.2954,73.3113
0.0800,57.2960,73.3113
0.0840,57.2953,73.3113
0.0880,57.2960,73.3113
0.0920,57.2954,73.3113
0.0960,57.2960,73.3113
0.1000,57.2954,73.3113
0.1040,57.2960,73.3113
0.1080,57.2954,73.3113
0.1120,57.2959,73.3113
0.1160,57.2954,73.3113
0.1200,57.2960,73.3113
0.1240,57.2954,73.3113
0.1280,57.2960,73.3113
0.1320,57.2954,73.3113
0.1360,57.2960,73.3113
0.1400,57.2953,73.3113
0.1440,57.2960,73.3113
0.1480,57.2954,73.3113
0.1520,57.2959,73.3113
0.1560,57.2954,73.3113
0.1600,57.2960,73.3113
0.1640,57.2953,73.3113
0.1680,57.2960,73.3113
0.1720,57.2954,73.3113
0.1760,57.2960,73.3113
0.1800,57.2954,73.3113
0.1840,57.2960,73.3113
0.1880,57.2954,73.3113
0.1920,57.2959,73.3113
0.1960,57.2954,73.3113
0.2000,57.2960,73.3113
0.2040,57.2954,73.3113
0.2080,57.2960,73.3113
0.2120,57.2954,73.3113
0.2160,57.2960,73.3113
0.2200,57.2953,73.3113
0.2240,57.2959,73.3113
0.2280,57.2954,73.3113
0.2320,57.2960,73.3113
0.2360,57.2954,73.3113
0.2400,57.2960,73.3113
0.2440,57.2954,73.3113
0.2480,57.2960,73.3113
0.2520,57.2953,73.3113
0.2560,57.2960,73.3113
0.2600,57.2953,73.3113
0.2640,57.2960,73.3113
0.2680,57.2953,73.3113
0.2720,57.2960,73.3113
0.2760,57.2954,73.3113
0.2800,57.2960,73.3113
0.2840,57.2954,73.3113
0.2880,57.2960,73.3113
0.2920,57.2954,73.3113
0.2960,57.2960,73.3113
0.3000,57.2953,73.3113
0.3040,57.2960,73.3113
0.3080,57.2953,73.3113
0.3120,57.2960,73.3113
0.3160,57.2953,73.3113
0.3200,57.2960,73.3113
0.3240,57.2953,73.3113
0.3280,57.2960,73.3113
0.3320,57.2953,73.3113
0.3360,57.2960,73.3113
0.3400,57.2953,73.3113
0.3440,57.2960,73.3113
0.3480,57.2953,73.3113
0.3520,57.2960,73.3113
0.3560,57.2953,73.3113
0.3600,57.2960,73.3113
0.3640,57.2953,73.3113
0.3680,57.2960,73.3113
0.3720,57.2953,73.3113
0.3760,57.2960,73.3113
0.3800,57.2953,73.3113
0.3840,57.2960,73.3113
0.3880,57.2953,73.3113
0.3920,57.2960,73.3113
0.3960,57.2953,73.3113
0.4000,57.2960,73.3113
0.4040,57.2953,73.3113
0.4080,57.2960,73.3113
0.4120,57.2953,73.3113
0.4160,57.2960,73.3113
0.4200,57.2953,73.3113
0.4240,57.2960,73.3113
0.4280,57.2953,73.3113
0.4320,57.2960,73.3113
0.4360,57.2953,73.3113
0.4400,57.2960,73.3113
0.4440,57.2953,73.3113
0.4480,57.2960,73.3113
0.4520,57.2954,73.3113
0.4560,57.2960,73.3113
0.4600,57.2953,73.3113
0.4640,57.2960,73.3113
0.4680,57.2953,73.3113
0.4720,57.2960,73.3113
0.4760,57.2953,73.3113
0.4800,57.2960,73.3113
0.4840,57.2953,73.3113
0.4880,57.2960,73.3113
0.4920,57.2953,73.3113
0.4960,57.2960,73.3113
0.5000,57.2953,73.3113
0.5040,57.2960,73.3113
0.5080,57.2953,73.3113
0.5120,57.2960,73.3113
0.5160,57.2953,73.3113
0.5200,57.2960,73.3113
0.5240,57.2953,73.3113
0.5280,57.2960,73.3113
0.5320,57.2954,73.3113
0.5360,57.2960,73.3113
0.5400,57.2953,73.3113
0.5440,57.2960,73.3113
0.5480,57.2953,73.3113
0.5520,57.2960,73.3113
0.5560,57.2953,73.3113
0.5600,57.2960,73.3113
0.5640,57.2953,73.3113
0.5680,57.2960,73.3113
0.5720,57.2953,73.3113
0.5760,57.2960,73.3113
0.5800,57.2953,73.3113
0.5840,57.2960,73.3113
0.5880,57.2953,73.3113
0.5920,57.2960,73.3113
0.5960,57.2953,73.3113
0.6000,57.2960,73.3113
0.6040,57.2953,73.3113
0.6080,57.2960,73.3113
0.6120,57.2954,73.3113
0.6160,57.2960,73.3113
0.6200,57.2953,73.3113
0.6240,57.2960,73.3113
0.6280,57.2953,73.3113
0.6320,57.2960,73.3113
0.6360,57.2953,73.3113
0.6400,57.2960,73.3113
0.6440,57.2953,73.3113
0.6480,57.2960,73.3113
0.6520,57.2953,73.3113
0.6560,57.2960,73.3113
0.6600,57.2953,73.3113
0.6640,57.2960,73.3113
0.6680,57.2954,73.3113
0.6720,57.2960,73.3113
0.6760,57.2954,73.3113
0.6800,57.2960,73.3113
0.6840,57.2953,73.3113
0.6880,57.2960,73.3113
0.6920,57.2954,73.3113
0.6960,57.2960,73.3113
0.7000,57.2953,73.3113
0.7040,57.2960,73.3113
0.7080,57.2953,73.3113
0.7120,57.2960,73.3113
0.7160,57.2953,73.3113
0.7200,57.2960,73.3113
0.7240,57.2953,73.3113
0.7280,57.2960,73.3113
0.7320,57.2953,73.3113
0.7360,57.2960,73.3113
0.7400,57.2953,73.3113
0.7440,57.2960,73.3113
0.7480,57.2953,73.3113
0.7520,57.2960,73.3113
0.7560,57.2953,73.3113
0.7600,57.2960,73.3113
0.7640,57.2953,73.3113
0.7680,57.2960,73.3113
0.7720,57.2953,73.3113
0.7760,57.2960,73.3113
0.7800,57.2953,73.3113
0.7840,57.2960,73.3113
0.7880,57.2953,73.3113
0.7920,57.2960,73.3113
0.7960,57.2953,73.3113
0.8000,57.2960,73.3113
0.8040,57.2954,73.3113
0.8080,57.2960,73.3113
0.8120,57.2953,73.3113
0.8160,57.2960,73.3113
0.8200,57.2953,73.3113
0.8240,57.2960,73.3113
0.8280,57.2954,73.3113
0.8320,57.2960,73.3113
0.8360,57.2953,73.3113
0.8400,57.2960,73.3113
0.8440,57.2953,73.3113
0.8480,57.2960,73.3113
0.8520,57.2953,73.3113
0.8560,57.2959,73.3113
0.8600,57.2954,73.3113
0.8640,57.2960,73.3113
0.8680,57.2953,73.3113
0.8720,57.2960,73.3113
0.8760,57.2953,73.3113
0.8800,57.2960,73.3113
0.8840,57.2953,73.3113
0.8880,57.2960,73.3113
0.8920,57.2953,73.3113
0.8960,57.2960,73.3113
0.9000,57.2954,73.3113
0.9040,57.2959,73.3113
0.9080,57.2954,73.3113
0.9120,57.2960,73.3113
0.9160,57.2953,73.3113
0.9200,57.2960,73.3113
0.9240,57.2953,73.3113
0.9280,57.2960,73.3113
0.9320,57.2953,73.3113
0.9360,57.2960,73.3113
0.9400,57.2953,73.3113
0.9440,57.2960,73.3113
0.9480,57.2953,73.3113
0.9520,57.2960,73.3113
0.9560,57.2953,73.3113
0.9600,57.2960,73.3113
0.9640,57.2953,73.3113
0.9680,57.2960,73.3113
0.9720,57.2953,73.3113
0.9760,57.2960,73.3113
0.9800,57.2953,73.3113
0.9840,57.2960,73.3113
0.9880,57.2953,73.3113
0.9920,57.2960,73.3113
0.9960,57.2953,73.3113
1.0000,57.2959,73.3113
1.0040,57.2954,73.3113
1.0080,57.2960,73.3113
1.0120,57.2954,73.3113
1.0160,57.2960,73.3113
1.0200,57.2953,73.3113
1.0240,57.2960,73.3113
1.0280,57.2953,73.3113
1.0320,57.2960,73.3113
1.0360,57.2953,73.3113
1.0400,57.2960,73.3113
1.0440,57.2953,73.3113
1.0480,57.2960,73.3113
1.0520,57.2953,73.3113
1.0560,57.2960,73.3113
1.0600,57.2953,73.3113
1.0640,57.2960,73.3113
1.0680,57.2953,73.3113
1.0720,57.2960,73.3113
1.0760,57.2953,73.3113
1.0800,57.2960,73.3113
1.0840,57.2953,73.3113
1.0880,57.2960,73.3113
1.0920,57.2953,73.3113
1.0960,57.2960,73.3113
1.1000,57.2953,73.3113
1.1040,57.2960,73.3113
1.1080,57.2953,73.3113
1.1120,57.2960,73.3113
1.1160,57.2953,73.3113
1.1200,57.2960,73.3113
1.1240,57.2953,73.3113
1.1280,57.2960,73.3113
1.1320,57.2953,73.3113
1.1360,57.2960,73.3113
1.1400,57.2953,73.3113
1.1440,57.2960,73.3113
1.1480,57.2953,73.3113
