t_rel_s,sim_Index_deg,real_Index_deg
1.3080,40.6070,41.9360
1.3120,40.8215,41.9360
1.3160,41.0351,41.9360
1.3200,41.2426,41.9360
1.3240,41.4488,41.9360
1.3280,41.6720,41.9360
1.3320,41.8556,41.9360
1.3360,41.9360,41.9360
1.3400,41.9360,41.9360
1.3440,41.9360,41.9360
1.3480,41.9360,41.9360
1.3520,41.9360,41.9360
1.3560,41.9360,41.9360
1.3600,41.9360,41.9360
1.3640,41.9360,41.9360
1.3680,41.9360,41.9360
1.3720,41.9360,41.9360
1.3760,41.9360,41.9360
1.3800,41.9360,41.9360
1.3840,41.9360,41.9360
1.3880,41.9360,41.9360
1.3920,41.9360,41.9360
1.3960,41.9360,41.9360
1.4000,41.9360,41.9360
1.4040,41.9360,41.9360
1.4080,41.9360,41.9360
1.4120,41.9360,41.9360
1.4160,41.9360,41.9360
1.4200,41.9360,41.9360
1.4240,41.9360,41.9360
1.4280,41.9360,41.9360
1.4320,41.9360,41.9360
1.4360,41.9360,41.9360
1.4400,41.9360,41.9360
1.4440,41.9360,41.9360
1.4480,41.9360,41.9360
1.4520,41.9360,41.9360
1.4560,41.9360,41.9360
1.4600,41.9360,41.9360
1.4640,41.9360,41.9360
1.4680,41.9360,41.9360
1.4720,41.9360,41.9360
1.4760,41.9360,41.9360
1.4800,41.9360,41.9360
1.4840,41.9360,41.9360
1.4880,41.9360,41.9360
1.4920,41.9360,41.9360
1.4960,41.9360,41.9360
1.5000,41.9360,41.9360
1.5040,41.9360,41.9360
1.5080,41.9360,41.9360
1.5120,41.9360,41.9360
1.5160,41.9360,41.9360
1.5200,41.9360,41.9360
1.5240,41.9360,41.9360
1.5280,41.9360,41.9360
1.5320,41.9360,41.9360
1.5360,41.9360,41.9360
1.5400,41.9360,41.9360
1.5440,41.9360,41.9360
1.5480,41.9360,41.9360
1.5520,41.9360,41.9360
1.5560,41.9360,41.9360
1.5600,41.9360,41.9360
1.5640,41.9360,41.9360
1.5680,41.9360,41.9360
1.5720,41.9360,41.9360
1.5760,41.9360,41.9360
1.5800,41.9360,41.9360
1.5840,41.9360,41.9360
1.5880,41.9360,41.9360
1.5920,41.9360,41.9360
1.5960,41.9360,41.9360
1.6000,41.9360,41.9360
1.6040,41.9360,41.9360
1.6080,41.9360,41.9360
1.6120,41.9360,41.9360
1.6160,41.9360,41.8835
1.6200,41.9360,41.3658
1.6240,41.9360,41.0445
1.6280,41.9360,40.9342
1.6320,41.9043,40.6678
1.6360,41.8024,39.9269
1.6400,41.8024,39.6442
1.6440,41.8024,39.1405
1.6480,41.8024,38.7697
1.6520,41.7166,38.5056
1.6560,41.4195,38.2098
1.6600,41.4195,37.6666
1.6640,41.4195,37.3660
1.6680,41.4195,37.1101
1.6720,41.3119,36.7072
1.6760,40.8651,35.9144
1.6800,40.8651,35.6268
1.6840,40.8651,35.1580
1.6880,40.8651,34.7742
1.6920,40.6776,34.4095
1.6960,40.0729,33.9221
1.7000,40.0729,33.6316
1.7040,40.0729,33.3621
1.7080,40.0729,32.7640
1.7120,39.8480,32.1524
1.7160,39.1638,31.8906
1.7200,39.1638,31.6226
1.7240,39.1638,31.1206
1.7280,39.1638,30.7473
1.7320,39.1638,30.4812
1.7360,38.8983,30.1691
1.7400,38.0197,29.3356
1.7440,38.0197,29.0037
1.7480,38.0197,28.5789
1.7520,38.0197,28.1532
1.7560,37.7158,27.8757
