t_rel_s,sim_Index_deg,real_Index_deg
0.0000,6.8755,6.8755
0.0040,6.8755,6.8755
0.0080,6.8755,6.8755
0.0120,6.8755,6.8755
0.0160,6.8755,6.8755
0.0200,6.8755,6.8755
0.0240,6.8755,6.8755
0.0280,6.8755,6.8755
0.0320,6.8755,6.8755
0.0360,6.8755,6.8755
0.0400,6.8755,6.8755
0.0440,6.8755,6.8755
0.0480,6.8755,6.8755
0.0520,6.8755,6.8755
0.0560,6.8755,6.8755
0.0600,6.8755,6.8755
0.0640,6.8755,6.8755
0.0680,6.8755,6.8755
0.0720,6.8755,6.8755
0.0760,6.8755,6.8755
0.0800,6.8755,6.8755
0.0840,6.8755,6.8755
0.0880,6.8755,6.8755
0.0920,6.8755,6.8755
0.0960,6.8755,6.8755
0.1000,6.8755,6.8755
0.1040,6.8755,6.8755
0.1080,6.8755,6.8755
0.1120,6.8755,6.8755
0.1160,6.8755,6.8755
0.1200,6.8755,6.8755
0.1240,6.8755,6.8755
0.1280,6.8755,6.8755
0.1320,6.8755,6.8755
0.1360,6.8755,6.8755
0.1400,6.8755,6.8755
0.1440,6.8755,6.8755
0.1480,6.8755,6.8755
0.1520,6.8755,6.8755
0.1560,6.8755,6.8755
0.1600,6.8755,6.8755
0.1640,6.8755,6.8755
0.1680,6.8755,6.8755
0.1720,6.8755,6.8755
0.1760,6.8755,6.8755
0.1800,6.8755,6.8755
0.1840,6.8755,6.8755
0.1880,6.8755,6.8755
0.1920,6.8755,6.8755
0.1960,6.8755,6.8755
0.2000,6.8755,6.8755
0.2040,6.8755,6.8755
0.2080,6.8755,6.8755
0.2120,6.8755,6.8755
0.2160,6.8755,6.8755
0.2200,6.8755,6.8755
0.2240,6.8755,6.8755
0.2280,6.8755,6.8755
0.2320,6.8755,6.8755
0.2360,6.8755,6.8755
0.2400,6.8755,6.8755
0.2440,6.8755,6.8755
0.2480,6.8755,6.8755
0.2520,6.8755,6.8755
0.2560,6.8755,6.8755
0.2600,6.8755,6.8755
