t_rel_s,sim_Little_deg,real_Little_deg
0.7400,41.6020,41.6020
0.7440,41.6020,41.6020
0.7480,41.6020,41.6020
0.7520,41.6020,41.3280
0.7560,41.6020,41.2681
0.7600,41.6020,40.8368
0.7640,41.6020,40.1832
0.7680,41.6020,39.9213
0.7720,41.6020,39.6483
0.7760,41.4335,39.1779
0.7800,41.3794,38.7846
0.7840,41.3794,38.4183
0.7880,41.3794,37.9060
0.7920,41.3794,37.6464
0.7960,41.0230,37.3852
0.8000,40.9194,36.9700
0.8040,40.9194,36.5060
0.8080,40.9194,36.2337
0.8120,40.9194,35.9766
0.8160,40.4391,35.4854
0.8200,40.2981,35.0990
0.8240,40.2981,34.7368
0.8280,40.2981,34.2340
0.8320,40.2981,33.9869
0.8360,39.6856,33.7169
0.8400,39.4925,33.2916
0.8440,39.4925,32.8353
0.8480,39.4925,32.5631
0.8520,39.4925,32.0097
0.8560,38.7932,31.6987
0.8600,38.5717,31.4295
0.8640,38.5717,31.0647
0.8680,38.5717,30.5582
0.8720,38.5717,30.3133
0.8760,37.8071,30.0382
0.8800,37.5065,29.5869
0.8840,37.5065,29.1412
0.8880,37.5065,28.8524
0.8920,37.5065,28.3396
0.8960,36.6198,28.2457
0.9000,36.3608,27.9672
0.9040,36.3608,27.3843
0.9080,36.3608,26.8361
0.9120,36.3608,26.3198
0.9160,35.3963,26.2422
0.9200,35.1007,25.7423
0.9240,35.1007,25.1314
0.9280,35.1007,24.8376
0.9320,35.1007,24.2909
0.9360,35.1007,24.0140
0.9400,34.0397,23.7466
0.9440,33.6524,23.3633
0.9480,33.6524,22.8602
0.9520,33.6524,22.5987
0.9560,32.5514,22.0975
0.9600,32.2192,21.7306
0.9640,32.2192,21.4620
0.9680,32.2192,21.1569
0.9720,32.2192,20.6128
0.9760,31.0855,20.3359
0.9800,30.7544,19.9020
0.9840,30.7544,19.4547
0.9880,30.7544,19.1812
0.9920,30.7544,18.9114
0.9960,30.7544,18.4148
1.0000,29.5413,18.0698
1.0040,29.1733,17.7708
1.0080,29.1733,17.4397
1.0120,29.1733,16.9113
1.0160,29.1733,16.6430
1.0200,27.9498,16.1875
1.0240,27.5359,15.7685
1.0280,27.5359,15.5021
1.0320,27.5359,15.2340
1.0360,27.5359,14.7184
1.0400,26.2628,14.3622
1.0440,25.8942,13.9580
1.0480,25.8942,13.5537
1.0520,25.8942,13.5537
1.0560,25.8942,13.0582
1.0600,24.7943,12.5333
1.0640,24.2488,12.1019
1.0680,24.2488,11.8841
1.0720,24.2488,11.8841
1.0760,24.2488,11.1174
1.0800,23.0630,10.5164
1.0840,22.6002,9.9733
1.0880,22.6002,9.4808
1.0920,22.6002,9.2105
1.0960,22.6002,8.9645
1.1000,21.2767,8.5450
1.1040,20.8152,8.4110
1.1080,20.8152,8.1437
1.1120,20.8152,7.8984
1.1160,19.5393,7.3765
1.1200,19.1347,7.0164
1.1240,19.1347,6.8755
1.1280,19.1347,6.8755
1.1320,19.1347,6.8755
1.1360,19.1347,6.8755
1.1400,17.9162,6.8755
1.1440,17.5001,6.8755
1.1480,17.5001,6.8755
1.1520,17.5001,6.8755
1.1560,17.5001,6.8755
1.1600,16.4879,6.8755
1.1640,16.0835,6.8755
1.1680,16.0835,6.8755
1.1720,16.0835,6.8755
1.1760,16.0835,6.8755
1.1800,15.2444,6.8755
1.1840,14.8558,6.8755
1.1880,14.8558,6.8755
1.1920,14.8558,6.8755
1.1960,14.8558,6.8755
1.2000,14.0322,6.8755
1.2040,13.7917,6.8755
1.2080,13.7917,6.8755
1.2120,13.7917,6.8755
1.2160,13.7917,6.8755
1.2200,13.1120,6.8755
1.2240,12.8696,6.8755
1.2280,12.8696,6.8755
1.2320,12.8696,6.8755
1.2360,12.8696,6.8755
1.2400,12.2874,6.8755
1.2440,12.0704,6.8755
1.2480,12.0704,6.8755
1.2520,12.0704,6.8755
1.2560,12.0704,6.8755
1.2600,11.7129,6.8755
1.2640,11.3777,6.8755
1.2680,11.3777,6.8755
1.2720,11.3777,6.8755
1.2760,11.3777,6.8755
1.2800,10.9363,6.8755
1.2840,10.7774,6.8755
1.2880,10.7774,6.8755
1.2920,10.7774,6.8755
1.2960,10.7774,6.8755
1.3000,10.3883,6.8755
1.3040,10.2572,6.8755
1.3080,10.2572,6.8755
1.3120,10.2572,6.8755
1.3160,10.2572,6.8755
1.3200,10.2572,6.8755
1.3240,9.9154,6.8755
1.3280,9.8063,6.8755
1.3320,9.8063,6.8755
1.3360,9.8063,6.8755
1.3400,9.8063,6.8755
1.3440,9.5202,6.8755
1.3480,9.4155,6.8755
1.3520,9.4155,6.8755
1.3560,9.4155,6.8755
1.3600,9.4155,6.8755
1.3640,9.1769,6.8755
1.3680,9.0768,6.8755
1.3720,9.0768,6.8755
1.3760,9.0768,6.8755
1.3800,8.8661,6.8755
1.3840,8.5698,6.8755
1.3880,8.2827,6.8755
1.3920,7.9889,6.8755
1.3960,7.6999,6.8755
1.4000,7.4026,6.8755
1.4040,7.3158,6.8755
1.4080,7.2721,6.8755
1.4120,7.2136,6.8755
1.4160,7.1557,6.8755
1.4200,7.0973,6.8755
1.4240,7.0378,6.8755
1.4280,6.9792,6.8755
1.4320,6.9208,6.8755
1.4360,6.8835,6.8755
1.4400,6.8755,6.8755
1.4440,6.8755,6.8755
1.4480,6.8755,6.8755
1.4520,6.8755,6.8755
1.4560,6.8755,6.8755
1.4600,6.8755,6.8755
