t_mono_s,source,Thumb_rad,Index_rad,Middle_rad,Ring_rad,Little_rad,Rotate_rad
3899.394932,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000003
3899.395626,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000003
3899.395823,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000003
3899.395998,sim,0.092185,0.119999,0.119999,0.119999,0.119999,-0.000004
3899.396158,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000004
3899.396335,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000005
3899.396492,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000005
3899.396692,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000003
3899.396846,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000004
3899.397010,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000002
3899.397165,sim,0.092186,0.120001,0.120001,0.120001,0.120001,0.000006
3899.397306,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000002
3899.397461,sim,0.092186,0.120001,0.120001,0.120000,0.120001,0.000007
3899.397683,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000005
3899.397846,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000005
3899.398080,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000003
3899.398325,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000007
3899.398704,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000005
3899.398944,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000003
3899.399142,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000003
3899.399285,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000002
3899.399429,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000003
3899.399567,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000005
3899.399705,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000002
3899.399841,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000005
3899.399975,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000004
3899.400181,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000003
3899.400337,sim,0.092185,0.120000,0.120000,0.119999,0.120000,-0.000004
3899.400481,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000002
3899.400618,sim,0.092185,0.119999,0.119999,0.119999,0.119999,-0.000006
3899.400752,sim,0.092186,0.120001,0.120001,0.120001,0.120001,0.000007
3899.400889,sim,0.092185,0.119999,0.119999,0.119999,0.119999,-0.000004
3899.401039,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000004
3899.401189,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000005
3899.401324,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000005
3899.401455,sim,0.092185,0.119999,0.119999,0.119999,0.119999,-0.000005
3899.401588,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000005
3899.401723,sim,0.092185,0.119999,0.119999,0.119999,0.119999,-0.000005
3899.401855,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000005
3899.401995,sim,0.092185,0.119999,0.119999,0.119999,0.119999,-0.000007
3899.402141,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000007
3899.402321,sim,0.092185,0.119999,0.119999,0.119999,0.119999,-0.000006
3899.402474,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000007
3899.402615,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000002
3899.402805,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000004
3899.402994,sim,0.092185,0.119999,0.119999,0.119999,0.119999,-0.000004
3899.403201,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000004
3899.403390,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000004
3899.403591,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000004
3899.403801,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000002
3899.404011,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000005
3899.404203,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000002
3899.406484,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000005
3899.410339,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000003
3899.414394,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000006
3899.418387,sim,0.092185,0.119999,0.119999,0.119999,0.119999,-0.000005
3899.422439,sim,0.092186,0.120001,0.120001,0.120001,0.120001,0.000006
3899.426430,sim,0.092185,0.119999,0.119999,0.119999,0.119999,-0.000004
3899.430396,sim,0.092186,0.120001,0.120000,0.120000,0.120000,0.000005
3899.434438,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000002
3899.438413,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000004
3899.442535,sim,0.092185,0.119999,0.119999,0.119999,0.119999,-0.000004
3899.446415,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000002
3899.450441,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000004
3899.454370,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000004
3899.458367,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000004
3899.462589,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000004
3899.466627,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000004
3899.470350,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000003
3899.474292,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000005
3899.478509,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000005
3899.482377,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000004
3899.486383,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000004
3899.490322,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000002
3899.494436,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000004
3899.498336,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000002
3899.502380,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000003
3899.506382,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000003
3899.510266,sim,0.092186,0.120001,0.120001,0.120001,0.120001,0.000006
3899.514409,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000003
3899.518311,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000006
3899.522337,sim,0.092185,0.119999,0.119999,0.119999,0.119999,-0.000004
3899.526324,sim,0.092186,0.120001,0.120001,0.120001,0.120001,0.000006
3899.530303,sim,0.092185,0.119999,0.119999,0.119999,0.119999,-0.000005
3899.534334,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000003
3899.538288,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000002
3899.542265,sim,0.092185,0.120000,0.120000,0.120000,0.120000,0.000002
3899.546588,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000003
3899.550382,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000003
3899.554351,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000002
3899.558398,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000003
3899.562377,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000003
3899.566767,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000003
3899.570221,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000003
3899.574275,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000003
3899.578340,sim,0.092185,0.119999,0.119999,0.119999,0.119999,-0.000005
3899.582339,sim,0.092186,0.120001,0.120001,0.120001,0.120001,0.000007
3899.586304,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000002
3899.590276,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000004
3899.594360,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000003
3899.598323,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000004
3899.602373,sim,0.092185,0.119999,0.119999,0.119999,0.119999,-0.000005
3899.606436,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000004
3899.610336,sim,0.092185,0.119999,0.119999,0.119999,0.119999,-0.000005
3899.614315,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000005
3899.618245,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000003
3899.622327,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000004
3899.626523,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000002
3899.630398,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000005
3899.634301,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000002
3899.638282,sim,0.092186,0.120001,0.120001,0.120001,0.120001,0.000006
3899.642377,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000004
3899.646512,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000005
3899.650332,sim,0.092185,0.120000,0.120000,0.120000,0.120000,-0.000004
3899.654301,sim,0.092186,0.120000,0.120000,0.120000,0.120000,0.000005
