t_rel_s,t_unix,mode,cycle,phase,setpoint_n,force_net_n,lc_seq,lc_t_us,lc_voltage_raw_v,q1,q2,q3,q4,q5,q6,tcp_x,tcp_y,tcp_z,pose_age_ms,taxel_0,taxel_1,taxel_2,taxel_3,taxel_4,taxel_5,taxel_6,taxel_7,taxel_8,taxel_9,taxel_10,taxel_11,taxel_12,taxel_13,taxel_14,taxel_15,taxel_16,taxel_17,taxel_18,taxel_19,taxel_20,taxel_21,taxel_22,taxel_23,taxel_24,touch_t_us,taxel_age_ms,n_RA,n_SA,cn_mm,cn_ra,cn_sa
0.0021,1788965829.3527,TOUCH,0,-1,0.5000,-0.0049,888464,1468367572,-3.7660751,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0046,1788965829.3552,TOUCH,0,-1,0.5000,-0.0051,888465,1468370126,-3.7764561,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0057,1788965829.3563,TOUCH,0,-1,0.5000,-0.0052,888466,1468371304,-3.7640994,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0087,1788965829.3593,TOUCH,1,0,0.5000,-0.0055,888467,1468374452,-3.7811944,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0114,1788965829.3619,TOUCH,1,0,0.5000,-0.0057,888468,1468377074,-3.7728810,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0141,1788965829.3647,TOUCH,1,0,0.5000,-0.0059,888469,1468379880,-3.7271824,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0166,1788965829.3672,TOUCH,1,0,0.5000,-0.0058,888470,1468382316,-3.7134774,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0191,1788965829.3697,TOUCH,1,0,0.5000,-0.0056,888471,1468384814,-3.7437894,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0216,1788965829.3721,TOUCH,1,0,0.5000,-0.0056,888472,1468387259,-3.7524004,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0240,1788965829.3746,TOUCH,1,0,0.5000,-0.0056,888473,1468389731,-3.7090383,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0265,1788965829.3771,TOUCH,1,0,0.5000,-0.0056,888474,1468392202,-3.7442198,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0292,1788965829.3797,TOUCH,1,0,0.5000,-0.0055,888475,1468394917,-3.7317450,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0315,1788965829.3821,TOUCH,1,0,0.5000,-0.0054,888476,1468397382,-3.7093480,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0339,1788965829.3845,TOUCH,1,0,0.5000,-0.0053,888477,1468399748,-3.7308710,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0365,1788965829.3871,TOUCH,1,0,0.5000,-0.0053,888478,1468402144,-3.7451410,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0391,1788965829.3896,TOUCH,1,0,0.5000,-0.0053,888479,1468404730,-3.7621517,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
