t_rel_s,t_unix,mode,cycle,phase,setpoint_n,force_net_n,lc_seq,lc_t_us,lc_voltage_raw_v,q1,q2,q3,q4,q5,q6,tcp_x,tcp_y,tcp_z,pose_age_ms,taxel_0,taxel_1,taxel_2,taxel_3,taxel_4,taxel_5,taxel_6,taxel_7,taxel_8,taxel_9,taxel_10,taxel_11,taxel_12,taxel_13,taxel_14,taxel_15,taxel_16,taxel_17,taxel_18,taxel_19,taxel_20,taxel_21,taxel_22,taxel_23,taxel_24,touch_t_us,taxel_age_ms,n_RA,n_SA,cn_mm,cn_ra,cn_sa
0.0011,1788964833.4172,TOUCH,0,-1,5.0000,-0.0039,491623,472431787,-3.7016375,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0034,1788964833.4195,TOUCH,0,-1,5.0000,-0.0036,491624,472434377,-3.6851926,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0064,1788964833.4226,TOUCH,1,0,5.0000,-0.0034,491625,472437703,-3.7500777,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0095,1788964833.4256,TOUCH,1,0,5.0000,-0.0034,491626,472440449,-3.7696726,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0116,1788964833.4277,TOUCH,1,0,5.0000,-0.0034,491627,472442938,-3.7419932,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0141,1788964833.4302,TOUCH,1,0,5.0000,-0.0035,491628,472445358,-3.7544174,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0166,1788964833.4327,TOUCH,1,0,5.0000,-0.0035,491629,472447845,-3.7358251,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0192,1788964833.4353,TOUCH,1,0,5.0000,-0.0035,491630,472450378,-3.6708701,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0220,1788964833.4382,TOUCH,1,0,5.0000,-0.0033,491631,472453306,-3.7142525,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0248,1788964833.4410,TOUCH,1,0,5.0000,-0.0031,491632,472456115,-3.7232072,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
