t_rel_s,t_unix,mode,cycle,phase,setpoint_n,force_net_n,lc_seq,lc_t_us,lc_voltage_raw_v,q1,q2,q3,q4,q5,q6,tcp_x,tcp_y,tcp_z,pose_age_ms,taxel_0,taxel_1,taxel_2,taxel_3,taxel_4,taxel_5,taxel_6,taxel_7,taxel_8,taxel_9,taxel_10,taxel_11,taxel_12,taxel_13,taxel_14,taxel_15,taxel_16,taxel_17,taxel_18,taxel_19,taxel_20,taxel_21,taxel_22,taxel_23,taxel_24,touch_t_us,taxel_age_ms,n_RA,n_SA,cn_mm,cn_ra,cn_sa
0.0010,1788966548.7391,TOUCH,0,-1,4.0000,-0.0083,1175392,2187753434,-3.7388654,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0015,1788966548.7396,TOUCH,0,-1,4.0000,-0.0083,1175393,2187754521,-3.7434237,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0054,1788966548.7435,TOUCH,1,0,4.0000,-0.0082,1175394,2187758464,-3.7380407,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0078,1788966548.7459,TOUCH,1,0,4.0000,-0.0082,1175395,2187761036,-3.7253602,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0104,1788966548.7485,TOUCH,1,0,4.0000,-0.0080,1175396,2187763575,-3.7238784,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0139,1788966548.7520,TOUCH,1,0,4.0000,-0.0078,1175397,2187766136,-3.7202020,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0155,1788966548.7536,TOUCH,1,0,4.0000,-0.0077,1175398,2187768746,-3.7393749,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0179,1788966548.7560,TOUCH,1,0,4.0000,-0.0076,1175399,2187771207,-3.7580998,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0203,1788966548.7584,TOUCH,1,0,4.0000,-0.0075,1175400,2187773657,-3.7362957,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0227,1788966548.7608,TOUCH,1,0,4.0000,-0.0075,1175401,2187776047,-3.7163057,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0254,1788966548.7635,TOUCH,1,0,4.0000,-0.0074,1175402,2187778479,-3.7438807,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0276,1788966548.7658,TOUCH,1,0,4.0000,-0.0074,1175403,2187780953,-3.7766972,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0300,1788966548.7681,TOUCH,1,0,4.0000,-0.0076,1175404,2187783376,-3.7888212,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0328,1788966548.7709,TOUCH,1,0,4.0000,-0.0078,1175405,2187786105,-3.7775314,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0356,1788966548.7737,TOUCH,1,0,4.0000,-0.0081,1175406,2187789006,-3.8186994,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0383,1788966548.7764,TOUCH,1,0,4.0000,-0.0084,1175407,2187791684,-3.7910228,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0412,1788966548.7793,TOUCH,1,0,4.0000,-0.0086,1175408,2187794273,-3.7487586,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0434,1788966548.7815,TOUCH,1,0,4.0000,-0.0087,1175409,2187796738,-3.7549298,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0460,1788966548.7841,TOUCH,1,0,4.0000,-0.0087,1175410,2187799289,-3.7266414,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0485,1788966548.7866,TOUCH,1,0,4.0000,-0.0087,1175411,2187801845,-3.7631581,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0509,1788966548.7890,TOUCH,1,0,4.0000,-0.0088,1175412,2187804254,-3.7642128,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0533,1788966548.7914,TOUCH,1,0,4.0000,-0.0088,1175413,2187806634,-3.7390079,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0557,1788966548.7938,TOUCH,1,0,4.0000,-0.0088,1175414,2187809014,-3.7344248,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0581,1788966548.7962,TOUCH,1,0,4.0000,-0.0087,1175415,2187811446,-3.7764957,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0591,1788966548.7972,TOUCH,1,0,4.0000,-0.0087,1175416,2187812494,-3.7311227,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0625,1788966548.8006,TOUCH,1,0,4.0000,-0.0086,1175417,2187815897,-3.7368064,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0635,1788966548.8016,TOUCH,1,0,4.0000,-0.0086,1175418,2187816881,-3.7319546,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0677,1788966548.8058,TOUCH,1,0,4.0000,-0.0085,1175419,2187820914,-3.7414265,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0700,1788966548.8081,TOUCH,1,0,4.0000,-0.0084,1175420,2187823432,-3.7374887,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0725,1788966548.8107,TOUCH,1,0,4.0000,-0.0084,1175421,2187825911,-3.7405422,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0751,1788966548.8132,TOUCH,1,0,4.0000,-0.0084,1175422,2187828405,-3.7459583,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0776,1788966548.8157,TOUCH,1,0,4.0000,-0.0083,1175423,2187830923,-3.7807698,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0801,1788966548.8182,TOUCH,1,0,4.0000,-0.0085,1175424,2187833406,-3.8043146,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0825,1788966548.8206,TOUCH,1,0,4.0000,-0.0087,1175425,2187835905,-3.7678602,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0852,1788966548.8233,TOUCH,1,0,4.0000,-0.0089,1175426,2187838420,-3.7990484,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0875,1788966548.8256,TOUCH,1,0,4.0000,-0.0092,1175427,2187840895,-3.8033416,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0902,1788966548.8283,TOUCH,1,0,4.0000,-0.0095,1175428,2187843406,-3.7985618,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0934,1788966548.8315,TOUCH,1,0,4.0000,-0.0098,1175429,2187846160,-3.7653801,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0952,1788966548.8333,TOUCH,1,0,4.0000,-0.0099,1175430,2187848551,-3.7599092,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0977,1788966548.8358,TOUCH,1,0,4.0000,-0.0100,1175431,2187850967,-3.7593014,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1000,1788966548.8381,TOUCH,1,0,4.0000,-0.0101,1175432,2187853395,-3.7612865,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1027,1788966548.8408,TOUCH,1,0,4.0000,-0.0101,1175433,2187855924,-3.7580047,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1038,1788966548.8419,TOUCH,1,0,4.0000,-0.0102,1175434,2187857136,-3.7625175,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1080,1788966548.8462,TOUCH,1,0,4.0000,-0.0103,1175435,2187861231,-3.7612221,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1099,1788966548.8480,TOUCH,1,0,4.0000,-0.0103,1175436,2187863202,-3.7445135,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1133,1788966548.8514,TOUCH,1,0,4.0000,-0.0103,1175437,2187866272,-3.7258325,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75396,-0.05718,-0.46142,0.05073,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
